step,x,y,yaw,dist_to_goal,min_obs_dist
0,-2.4775,0.0000,0.0040,6.9775,3.8012
1,-2.4393,0.0002,0.0092,6.9393,3.7788
2,-2.3900,0.0006,0.0155,6.8900,3.7405
3,-2.3330,0.0015,0.0266,6.8330,3.6912
4,-2.2706,0.0032,0.0373,6.7706,3.6343
5,-2.2045,0.0056,0.0475,6.7045,3.5719
6,-2.1357,0.0089,0.0572,6.6357,3.5057
7,-2.0652,0.0129,0.0703,6.5652,3.4369
8,-1.9934,0.0180,0.0837,6.4934,3.3662
9,-1.9208,0.0241,0.0939,6.4208,3.2943
10,-1.8476,0.0310,0.1050,6.3476,3.2216
11,-1.7740,0.0387,0.1144,6.2741,3.1483
12,-1.7002,0.0472,0.1261,6.2004,3.0746
13,-1.6263,0.0566,0.1362,6.1266,3.0007
14,-1.5524,0.0667,0.1505,6.0527,2.9266
15,-1.4785,0.0779,0.1627,5.9790,2.8526
16,-1.4046,0.0900,0.1727,5.9053,2.7785
17,-1.3309,0.1029,0.1825,5.8318,2.7046
18,-1.2572,0.1165,0.1943,5.7584,2.6309
19,-1.1837,0.1310,0.2072,5.6852,2.5572
20,-1.1103,0.1464,0.2241,5.6122,2.4838
21,-1.0372,0.1631,0.2415,5.5396,2.4107
22,-0.9644,0.1810,0.2580,5.4674,2.3380
23,-0.8919,0.2001,0.2750,5.3956,2.2657
24,-0.8197,0.2205,0.2925,5.3243,2.1940
25,-0.7479,0.2421,0.3162,5.2535,2.1229
26,-0.6766,0.2654,0.3397,5.1834,2.0524
27,-0.6059,0.2904,0.3619,5.1142,1.9829
28,-0.5358,0.3170,0.3804,5.0458,1.9145
29,-0.4662,0.3448,0.3966,4.9781,1.8473
30,-0.3970,0.3738,0.4127,4.9112,1.7813
31,-0.3283,0.4039,0.4311,4.8451,1.7166
32,-0.2601,0.4352,0.4518,4.7800,1.6534
33,-0.1927,0.4680,0.4735,4.7159,1.5918
34,-0.1259,0.5022,0.4980,4.6531,1.5322
35,-0.0600,0.5380,0.5197,4.5917,1.4749
36,0.0051,0.5752,0.5360,4.5316,1.4204
37,0.0695,0.6135,0.5488,4.4727,1.3687
38,0.1335,0.6527,0.5604,4.4150,1.3198
39,0.1971,0.6925,0.5726,4.3583,1.2740
40,0.2601,0.7332,0.5829,4.3028,1.2313
41,0.3227,0.7744,0.5925,4.2485,1.1922
42,0.3849,0.8163,0.6049,4.1953,1.1568
43,0.4466,0.8590,0.6195,4.1434,1.1253
44,0.5077,0.9025,0.6301,4.0931,1.0983
45,0.5683,0.9467,0.6426,4.0441,1.0762
46,0.6283,0.9917,0.6578,3.9967,1.0590
47,0.6877,1.0375,0.6740,3.9510,1.0470
48,0.7463,1.0843,0.6950,3.9072,1.0405
49,0.8039,1.1323,0.7204,3.8657,1.0398
50,0.8602,1.1818,0.7451,3.8268,1.0451
51,0.9154,1.2327,0.7691,3.7907,1.0568
52,0.9693,1.2848,0.7925,3.7573,1.0747
53,1.0219,1.3382,0.8142,3.7267,1.0983
54,1.0734,1.3928,0.8342,3.6988,1.1273
55,1.1238,1.4483,0.8540,3.6738,1.1614
56,1.1731,1.5049,0.8734,3.6515,1.1998
57,1.2212,1.5624,0.8890,3.6320,1.2424
