episode_id,stop_fired,stop_step,n_steps,final_dist_m,success,oracle_success,path_length_m,p_stop_mean,p_stop_max
kujiale_0092_kujiale_0092_91_1,True,19,21,5.1168,False,False,3.8346,0.0969,0.9504
kujiale_0092_kujiale_0092_9_2,True,29,31,4.0311,False,False,5.3155,0.0588,0.8398
kujiale_0118_kujiale_0118_25_3,True,9,11,3.6090,False,False,1.8014,0.3121,0.8376
kujiale_0118_kujiale_0118_31_0,True,19,21,5.2513,False,False,3.1526,0.1638,0.8269
kujiale_0118_kujiale_0118_40_4,True,22,24,10.0298,False,False,4.0390,0.0671,0.7381
kujiale_0203_kujiale_0203_15_3,True,0,2,5.4952,False,False,0.1310,0.8180,0.8180
kujiale_0203_kujiale_0203_16_3,True,5,7,5.8098,False,False,0.7287,0.2343,0.9062
kujiale_0203_kujiale_0203_22_4,True,22,24,5.7610,False,False,2.3753,0.1760,0.7857
kujiale_0203_kujiale_0203_25_0,True,12,14,1.4554,True,True,1.9884,0.4321,0.7398
kujiale_0203_kujiale_0203_32_2,True,27,29,2.1930,True,True,3.0711,0.1691,0.7711
kujiale_0203_kujiale_0203_43_1,True,6,8,5.5673,False,False,0.8594,0.2324,0.9591
kujiale_0203_kujiale_0203_49_3,True,0,2,6.3925,False,False,0.1514,0.7096,0.7096
kujiale_0271_kujiale_0271_15_1,True,38,40,2.4127,True,True,8.2102,0.0810,0.9959
kujiale_0271_kujiale_0271_24_4,True,47,49,6.5573,False,False,8.1293,0.0975,0.9230
kujiale_0271_kujiale_0271_7_3,True,1,3,2.3473,True,True,0.2588,0.6986,0.7127
