prob_threshold,stable_k,policy,episodes,SR_percent,OSR_percent,NE_m,TL_m,stop_fired,mean_stop_step
0.10,2,temporal_neural_stop_head,15,26.7,26.7,5.45,1.15,15,5.3
0.20,2,temporal_neural_stop_head,15,26.7,26.7,4.91,2.11,15,12.0
0.30,2,temporal_neural_stop_head,15,26.7,26.7,4.81,2.44,15,14.5
0.40,2,temporal_neural_stop_head,15,26.7,26.7,4.69,2.83,15,17.2
0.50,2,temporal_neural_stop_head,15,20.0,26.7,4.86,3.40,15,21.1
0.60,2,temporal_neural_stop_head,15,20.0,26.7,4.72,3.77,15,23.5
0.70,2,temporal_neural_stop_head,15,13.3,26.7,5.06,5.01,13,28.6
0.80,2,temporal_neural_stop_head,15,20.0,33.3,6.14,7.05,6,33.5
0.90,2,temporal_neural_stop_head,15,13.3,40.0,6.35,7.67,3,34.7
