prob_threshold,stable_k,policy,episodes,SR_percent,OSR_percent,NE_m,TL_m,stop_fired,mean_stop_step
0.10,5,temporal_neural_stop_head,15,26.7,26.7,5.10,3.16,14,16.7
0.20,5,temporal_neural_stop_head,15,13.3,26.7,5.21,3.69,14,20.8
0.30,5,temporal_neural_stop_head,15,6.7,26.7,5.28,4.80,13,26.5
0.40,5,temporal_neural_stop_head,15,6.7,33.3,5.20,5.57,11,29.4
0.50,5,temporal_neural_stop_head,15,6.7,33.3,5.91,6.47,10,33.3
0.60,5,temporal_neural_stop_head,15,13.3,40.0,6.48,7.91,3,41.7
0.70,5,temporal_neural_stop_head,15,20.0,46.7,6.45,7.99,1,50.0
0.80,5,temporal_neural_stop_head,15,20.0,46.7,6.51,8.08,0,
0.90,5,temporal_neural_stop_head,15,20.0,46.7,6.51,8.08,0,
