prob_threshold,stable_k,policy,episodes,SR_percent,OSR_percent,NE_m,TL_m,stop_fired,mean_stop_step
0.10,3,temporal_neural_stop_head,15,20.0,20.0,5.78,0.62,15,2.6
0.20,3,temporal_neural_stop_head,15,26.7,26.7,5.37,1.27,15,6.2
0.30,3,temporal_neural_stop_head,15,26.7,26.7,5.04,1.85,15,9.9
0.40,3,temporal_neural_stop_head,15,26.7,26.7,4.81,2.61,15,15.3
0.50,3,temporal_neural_stop_head,15,20.0,26.7,4.64,4.25,14,25.6
0.60,3,temporal_neural_stop_head,15,13.3,26.7,5.26,5.47,9,21.7
0.70,3,temporal_neural_stop_head,15,20.0,46.7,5.95,7.22,3,23.3
0.80,3,temporal_neural_stop_head,15,20.0,46.7,6.29,7.70,2,33.5
0.90,3,temporal_neural_stop_head,15,20.0,46.7,6.51,8.08,0,
