episode_id,step_idx,sim_time,wall_time,robot_position_x,robot_position_y,robot_position_z,robot_yaw,linear_velocity_cmd,angular_velocity_cmd,odom_linear_velocity,odom_angular_velocity,camera_frame_id,image_timestamp,policy_mode,stop_signal,safety_state,notes
manual_arc_20260708_024944,32,12.583334,1783475384.764874,1.346503,-0.000452,-0.0,-0.000173,0.3,0.0,0.299862,-0.000351,camera_link,12.583334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,33,12.600001,1783475384.773745,1.351495,-0.000452,-0.0,-0.000173,0.3,0.0,0.299838,-0.000325,camera_link,12.600001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,34,12.616667,1783475384.775763,1.356486,-0.000453,0.0,-0.000173,0.3,0.0,0.299838,-0.000325,camera_link,12.616667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,35,12.633334,1783475384.776982,1.361477,-0.000454,0.0,-0.000173,0.3,0.0,0.299838,-0.000325,camera_link,12.633334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,36,12.650001,1783475384.78382,1.366469,-0.000455,-0.0,-0.000173,0.3,0.0,0.299866,-0.00012,camera_link,12.650001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,37,12.666667,1783475384.785181,1.37146,-0.000456,0.0,-0.000173,0.3,0.0,0.299866,-0.00012,camera_link,12.666667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,38,12.683334,1783475384.786429,1.376452,-0.000457,0.0,-0.000173,0.3,0.0,0.299866,-0.00012,camera_link,12.683334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,39,12.700001,1783475384.792466,1.381443,-0.000458,-0.0,-0.000173,0.3,0.0,0.299835,0.000408,camera_link,12.700001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,40,12.716667,1783475384.794694,1.386434,-0.000458,-0.0,-0.000173,0.3,0.0,0.299835,0.000408,camera_link,12.716667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,41,12.733334,1783475384.796066,1.391426,-0.000459,0.0,-0.000174,0.3,0.0,0.299835,0.000408,camera_link,12.733334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,42,12.750001,1783475384.80437,1.396417,-0.00046,-0.0,-0.000174,0.3,0.0,0.299849,0.000167,camera_link,12.750001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,43,12.766667,1783475384.806397,1.40141,-0.00046,2e-06,-0.000167,0.3,0.0,0.299849,0.000167,camera_link,12.766667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,44,12.783334,1783475384.808825,1.406403,-0.000461,0.0,-0.000167,0.3,0.0,0.299849,0.000167,camera_link,12.783334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,45,12.800001,1783475384.817853,1.411394,-0.000462,0.0,-0.000167,0.3,0.0,0.299866,-0.000133,camera_link,12.800001,manual_cmd_vel,,nominal,
