episode_id,step_idx,sim_time,wall_time,robot_position_x,robot_position_y,robot_position_z,robot_yaw,linear_velocity_cmd,angular_velocity_cmd,odom_linear_velocity,odom_angular_velocity,camera_frame_id,image_timestamp,policy_mode,stop_signal,safety_state,notes,shadow_gnm_enabled,shadow_gnm_status,shadow_gnm_model_path,shadow_gnm_latency_ms,shadow_gnm_candidate_linear_velocity,shadow_gnm_candidate_angular_velocity,shadow_gnm_candidate_waypoint_x,shadow_gnm_candidate_waypoint_y,shadow_gnm_goal_distance,shadow_gnm_confidence,shadow_gnm_error,actual_controller,actual_linear_velocity_cmd,actual_angular_velocity_cmd,collision_detected,collision_count_so_far,collision_body,experiment_id,pair_id,condition,stop_rule_name,stop_rule_threshold,stop_rule_k,stop_rule_ratio,initial_predicted_distance,normalized_predicted_distance,stop_triggered,goal_id,distance_to_goal_m,gnm_control_enabled,gnm_action_raw_linear_velocity,gnm_action_raw_angular_velocity,gnm_action_clipped_linear_velocity,gnm_action_clipped_angular_velocity,action_clipped,watchdog_state,emergency_stop_triggered,stop_reason
h21_ft_K_b_20260710_031001,52,10.583334,1783649425.711216,0.300017,-4.530503,-0.0,1.570396,0.2,-0.1897,0.199455,0.01016,camera_link,10.583334,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.62,0.3867,-0.1897,0.0967,-0.0046,0.4989,,,gnm_closed_loop,0.2,-0.1897,False,0,,hospital_h21_repair,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn;route=repaired_K,,,,,,,False,h2_near_desk_K,5.4905,True,0.3867,-0.1897,0.2,-0.1897,True,armed,False,
h21_ft_K_b_20260710_031001,53,10.600001,1783649425.713247,0.300018,-4.527183,-0.0,1.570388,0.2,-0.1897,0.199455,0.01016,camera_link,10.600001,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.62,0.3867,-0.1897,0.0967,-0.0046,0.4989,,,gnm_closed_loop,0.2,-0.1897,False,0,,hospital_h21_repair,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn;route=repaired_K,,,,,,,False,h2_near_desk_K,5.4875,True,0.3867,-0.1897,0.2,-0.1897,True,armed,False,
h21_ft_K_b_20260710_031001,54,10.616667,1783649425.73249,0.30002,-4.523862,-0.0,1.570379,0.2,-0.1996,0.199562,0.009988,camera_link,10.616667,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,6.23,0.3877,-0.1996,0.0969,-0.0048,0.5036,,,gnm_closed_loop,0.2,-0.1996,False,0,,hospital_h21_repair,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn;route=repaired_K,,,,,,,False,h2_near_desk_K,5.4844,True,0.3877,-0.1996,0.2,-0.1996,True,armed,False,
h21_ft_K_b_20260710_031001,55,10.633334,1783649425.73481,0.300021,-4.520543,-0.0,1.57037,0.2,-0.1996,0.199562,0.009988,camera_link,10.633334,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,6.23,0.3877,-0.1996,0.0969,-0.0048,0.5036,,,gnm_closed_loop,0.2,-0.1996,False,0,,hospital_h21_repair,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn;route=repaired_K,,,,,,,False,h2_near_desk_K,5.4814,True,0.3877,-0.1996,0.2,-0.1996,True,armed,False,
h21_ft_K_b_20260710_031001,56,10.650001,1783649425.736571,0.300022,-4.517225,-0.0,1.570361,0.2,-0.1996,0.199562,0.009988,camera_link,10.650001,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,6.23,0.3877,-0.1996,0.0969,-0.0048,0.5036,,,gnm_closed_loop,0.2,-0.1996,False,0,,hospital_h21_repair,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn;route=repaired_K,,,,,,,False,h2_near_desk_K,5.4784,True,0.3877,-0.1996,0.2,-0.1996,True,armed,False,
h21_ft_K_b_20260710_031001,57,10.666667,1783649425.755415,0.300023,-4.513907,-0.0,1.570352,0.2,-0.2055,0.19947,0.010956,camera_link,10.666667,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.85,0.3885,-0.2055,0.0971,-0.005,0.5029,,,gnm_closed_loop,0.2,-0.2055,False,0,,hospital_h21_repair,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn;route=repaired_K,,,,,,,False,h2_near_desk_K,5.4753,True,0.3885,-0.2055,0.2,-0.2055,True,armed,False,
h21_ft_K_b_20260710_031001,58,10.683334,1783649425.757647,0.300024,-4.510589,-0.0,1.570343,0.2,-0.2055,0.19947,0.010956,camera_link,10.683334,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.85,0.3885,-0.2055,0.0971,-0.005,0.5029,,,gnm_closed_loop,0.2,-0.2055,False,0,,hospital_h21_repair,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn;route=repaired_K,,,,,,,False,h2_near_desk_K,5.4723,True,0.3885,-0.2055,0.2,-0.2055,True,armed,False,
h21_ft_K_b_20260710_031001,59,10.700001,1783649425.760051,0.300025,-4.507272,-0.0,1.570333,0.2,-0.2055,0.19947,0.010956,camera_link,10.700001,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.85,0.3885,-0.2055,0.0971,-0.005,0.5029,,,gnm_closed_loop,0.2,-0.2055,False,0,,hospital_h21_repair,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn;route=repaired_K,,,,,,,False,h2_near_desk_K,5.4692,True,0.3885,-0.2055,0.2,-0.2055,True,armed,False,
h21_ft_K_b_20260710_031001,60,10.716667,1783649425.776602,0.300027,-4.503953,-0.0,1.570323,0.2,-0.2095,0.199575,0.010933,camera_link,10.716667,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,5.13,0.3897,-0.2095,0.0974,-0.0051,0.5041,,,gnm_closed_loop,0.2,-0.2095,False,0,,hospital_h21_repair,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn;route=repaired_K,,,,,,,False,h2_near_desk_K,5.4662,True,0.3897,-0.2095,0.2,-0.2095,True,armed,False,
h21_ft_K_b_20260710_031001,61,10.733334,1783649425.778769,0.300028,-4.500635,-0.0,1.570314,0.2,-0.2095,0.199575,0.010933,camera_link,10.733334,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,5.13,0.3897,-0.2095,0.0974,-0.0051,0.5041,,,gnm_closed_loop,0.2,-0.2095,False,0,,hospital_h21_repair,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn;route=repaired_K,,,,,,,False,h2_near_desk_K,5.4632,True,0.3897,-0.2095,0.2,-0.2095,True,armed,False,
h21_ft_K_b_20260710_031001,62,10.750001,1783649425.780589,0.300029,-4.497316,-0.0,1.570304,0.2,-0.2095,0.199575,0.010933,camera_link,10.750001,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,5.13,0.3897,-0.2095,0.0974,-0.0051,0.5041,,,gnm_closed_loop,0.2,-0.2095,False,0,,hospital_h21_repair,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn;route=repaired_K,,,,,,,False,h2_near_desk_K,5.4601,True,0.3897,-0.2095,0.2,-0.2095,True,armed,False,
h21_ft_K_b_20260710_031001,63,10.766667,1783649425.795382,0.30003,-4.493998,-0.0,1.570295,0.2,-0.2186,0.199606,0.010991,camera_link,10.766667,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,5.09,0.3906,-0.2186,0.0977,-0.0053,0.5116,,,gnm_closed_loop,0.2,-0.2186,False,0,,hospital_h21_repair,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn;route=repaired_K,,,,,,,False,h2_near_desk_K,5.4571,True,0.3906,-0.2186,0.2,-0.2186,True,armed,False,
h21_ft_K_b_20260710_031001,64,10.783334,1783649425.797558,0.300032,-4.490679,-0.0,1.570284,0.2,-0.2186,0.199606,0.010991,camera_link,10.783334,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,5.09,0.3906,-0.2186,0.0977,-0.0053,0.5116,,,gnm_closed_loop,0.2,-0.2186,False,0,,hospital_h21_repair,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn;route=repaired_K,,,,,,,False,h2_near_desk_K,5.4541,True,0.3906,-0.2186,0.2,-0.2186,True,armed,False,
h21_ft_K_b_20260710_031001,65,10.800001,1783649425.79951,0.300033,-4.48736,-0.0,1.570273,0.2,-0.2186,0.199606,0.010991,camera_link,10.800001,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,5.09,0.3906,-0.2186,0.0977,-0.0053,0.5116,,,gnm_closed_loop,0.2,-0.2186,False,0,,hospital_h21_repair,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn;route=repaired_K,,,,,,,False,h2_near_desk_K,5.451,True,0.3906,-0.2186,0.2,-0.2186,True,armed,False,
h21_ft_K_b_20260710_031001,66,10.816667,1783649425.815579,0.300034,-4.484042,-0.0,1.570263,0.2,-0.2116,0.199567,0.012673,camera_link,10.816667,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,5.39,0.3905,-0.2116,0.0976,-0.0052,0.5193,,,gnm_closed_loop,0.2,-0.2116,False,0,,hospital_h21_repair,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn;route=repaired_K,,,,,,,False,h2_near_desk_K,5.448,True,0.3905,-0.2116,0.2,-0.2116,True,armed,False,
h21_ft_K_b_20260710_031001,67,10.833334,1783649425.818296,0.300035,-4.480723,-0.0,1.570253,0.2,-0.2116,0.199567,0.012673,camera_link,10.833334,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,5.39,0.3905,-0.2116,0.0976,-0.0052,0.5193,,,gnm_closed_loop,0.2,-0.2116,False,0,,hospital_h21_repair,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn;route=repaired_K,,,,,,,False,h2_near_desk_K,5.4449,True,0.3905,-0.2116,0.2,-0.2116,True,armed,False,
h21_ft_K_b_20260710_031001,68,10.850001,1783649425.820855,0.300037,-4.477404,-0.0,1.570243,0.2,-0.2116,0.199567,0.012673,camera_link,10.850001,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,5.39,0.3905,-0.2116,0.0976,-0.0052,0.5193,,,gnm_closed_loop,0.2,-0.2116,False,0,,hospital_h21_repair,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn;route=repaired_K,,,,,,,False,h2_near_desk_K,5.4419,True,0.3905,-0.2116,0.2,-0.2116,True,armed,False,
h21_ft_K_b_20260710_031001,69,10.866667,1783649428.650008,0.300038,-4.474085,-0.0,1.570233,0.2,-0.2199,0.199563,0.011098,camera_link,10.866667,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,8.92,0.3905,-0.2199,0.0976,-0.0054,0.5237,,,gnm_closed_loop,0.2,-0.2199,False,0,,hospital_h21_repair,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn;route=repaired_K,,,,,,,False,h2_near_desk_K,5.4389,True,0.3905,-0.2199,0.2,-0.2199,True,armed,False,
h21_ft_K_b_20260710_031001,70,10.883334,1783649428.652351,0.30004,-4.470767,-0.0,1.570222,0.2,-0.2199,0.199563,0.011098,camera_link,10.883334,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,8.92,0.3905,-0.2199,0.0976,-0.0054,0.5237,,,gnm_closed_loop,0.2,-0.2199,False,0,,hospital_h21_repair,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn;route=repaired_K,,,,,,,False,h2_near_desk_K,5.4358,True,0.3905,-0.2199,0.2,-0.2199,True,armed,False,
h21_ft_K_b_20260710_031001,71,10.900001,1783649428.654217,0.300041,-4.467449,-0.0,1.570211,0.2,-0.2199,0.199563,0.011098,camera_link,10.900001,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,8.92,0.3905,-0.2199,0.0976,-0.0054,0.5237,,,gnm_closed_loop,0.2,-0.2199,False,0,,hospital_h21_repair,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn;route=repaired_K,,,,,,,False,h2_near_desk_K,5.4328,True,0.3905,-0.2199,0.2,-0.2199,True,armed,False,
