episode_id,step_idx,sim_time,wall_time,robot_position_x,robot_position_y,robot_position_z,robot_yaw,linear_velocity_cmd,angular_velocity_cmd,odom_linear_velocity,odom_angular_velocity,camera_frame_id,image_timestamp,policy_mode,stop_signal,safety_state,notes,shadow_gnm_enabled,shadow_gnm_status,shadow_gnm_model_path,shadow_gnm_latency_ms,shadow_gnm_candidate_linear_velocity,shadow_gnm_candidate_angular_velocity,shadow_gnm_candidate_waypoint_x,shadow_gnm_candidate_waypoint_y,shadow_gnm_goal_distance,shadow_gnm_confidence,shadow_gnm_error,actual_controller,actual_linear_velocity_cmd,actual_angular_velocity_cmd,goal_id,distance_to_goal_m,gnm_control_enabled,gnm_action_raw_linear_velocity,gnm_action_raw_angular_velocity,gnm_action_clipped_linear_velocity,gnm_action_clipped_angular_velocity,action_clipped,watchdog_state,emergency_stop_triggered,stop_reason,stop_head_enabled,stop_head_mode,stop_head_model_path,stop_head_latency_ms,stop_probability,stop_decision_shadow,stop_threshold,stop_reason_shadow,distance_to_goal_at_stop_signal,nearest_goal_distance_so_far,overshoot_detected,would_have_stopped_step,would_have_stopped_sim_time,stop_authority_enabled
hospital_low_curvature_C_20260708_143004,542,18.750001,1783517414.89577,0.727646,-0.72862,-0.0,2.356799,0.2,0.056244,0.199874,-0.002892,camera_link,18.750001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.77,0.3,0.0562,0.681,0.0383,6.07,,,gnm_closed_loop,0.2,0.056244,hospital_goal_C,1.2629,True,0.3,0.056244,0.2,0.056244,True,armed,False,,True,shadow,results/bo_reviewer_packet/temporal_stop_head/22_temporal_stop_head_model.pt,0.117,0.0,False,0.5,,,1.2692,False,,,False
hospital_low_curvature_C_20260708_143004,543,18.766668,1783517414.919644,0.725294,-0.72627,-0.0,2.356801,0.2,0.056384,0.199873,-0.0025,camera_link,18.766668,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.9,0.3,0.0564,0.6737,0.038,6.17,,,gnm_closed_loop,0.2,0.056384,hospital_goal_C,1.2597,True,0.3,0.056384,0.2,0.056384,True,armed,False,,True,shadow,results/bo_reviewer_packet/temporal_stop_head/22_temporal_stop_head_model.pt,0.125,0.0,False,0.5,,,1.2597,False,,,False
hospital_low_curvature_C_20260708_143004,544,18.783334,1783517414.921826,0.722941,-0.723921,-0.0,2.356803,0.2,0.056384,0.199873,-0.0025,camera_link,18.783334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.9,0.3,0.0564,0.6737,0.038,6.17,,,gnm_closed_loop,0.2,0.056384,hospital_goal_C,1.2566,True,0.3,0.056384,0.2,0.056384,True,armed,False,,True,shadow,results/bo_reviewer_packet/temporal_stop_head/22_temporal_stop_head_model.pt,0.125,0.0,False,0.5,,,1.2597,False,,,False
hospital_low_curvature_C_20260708_143004,545,18.800001,1783517414.92362,0.720589,-0.721571,-0.0,2.356805,0.2,0.056384,0.199873,-0.0025,camera_link,18.800001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.9,0.3,0.0564,0.6737,0.038,6.17,,,gnm_closed_loop,0.2,0.056384,hospital_goal_C,1.2534,True,0.3,0.056384,0.2,0.056384,True,armed,False,,True,shadow,results/bo_reviewer_packet/temporal_stop_head/22_temporal_stop_head_model.pt,0.125,0.0,False,0.5,,,1.2597,False,,,False
hospital_low_curvature_C_20260708_143004,546,18.816668,1783517414.9492,0.718237,-0.719222,-0.0,2.356807,0.2,0.05611,0.199888,-0.003194,camera_link,18.816668,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.88,0.3,0.0561,0.6658,0.0374,6.23,,,gnm_closed_loop,0.2,0.05611,hospital_goal_C,1.2503,True,0.3,0.05611,0.2,0.05611,True,armed,False,,True,shadow,results/bo_reviewer_packet/temporal_stop_head/22_temporal_stop_head_model.pt,0.119,0.0,False,0.5,,,1.2503,False,,,False
hospital_low_curvature_C_20260708_143004,547,18.833334,1783517414.952689,0.715885,-0.716872,-0.0,2.356809,0.2,0.05611,0.199888,-0.003194,camera_link,18.833334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.88,0.3,0.0561,0.6658,0.0374,6.23,,,gnm_closed_loop,0.2,0.05611,hospital_goal_C,1.2471,True,0.3,0.05611,0.2,0.05611,True,armed,False,,True,shadow,results/bo_reviewer_packet/temporal_stop_head/22_temporal_stop_head_model.pt,0.119,0.0,False,0.5,,,1.2503,False,,,False
hospital_low_curvature_C_20260708_143004,548,18.850001,1783517414.954754,0.713533,-0.714523,-0.0,2.356811,0.2,0.05611,0.199888,-0.003194,camera_link,18.850001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.88,0.3,0.0561,0.6658,0.0374,6.23,,,gnm_closed_loop,0.2,0.05611,hospital_goal_C,1.244,True,0.3,0.05611,0.2,0.05611,True,armed,False,,True,shadow,results/bo_reviewer_packet/temporal_stop_head/22_temporal_stop_head_model.pt,0.119,0.0,False,0.5,,,1.2503,False,,,False
hospital_low_curvature_C_20260708_143004,549,18.866668,1783517414.978447,0.71118,-0.712174,-0.0,2.356813,0.2,0.054166,0.199895,-0.003224,camera_link,18.866668,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.06,0.3,0.0542,0.6626,0.0359,6.32,,,gnm_closed_loop,0.2,0.054166,hospital_goal_C,1.2408,True,0.3,0.054166,0.2,0.054166,True,armed,False,,True,shadow,results/bo_reviewer_packet/temporal_stop_head/22_temporal_stop_head_model.pt,0.133,0.0,False,0.5,,,1.2408,False,,,False
hospital_low_curvature_C_20260708_143004,550,18.883334,1783517414.980847,0.708828,-0.709824,-0.0,2.356815,0.2,0.054166,0.199895,-0.003224,camera_link,18.883334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.06,0.3,0.0542,0.6626,0.0359,6.32,,,gnm_closed_loop,0.2,0.054166,hospital_goal_C,1.2377,True,0.3,0.054166,0.2,0.054166,True,armed,False,,True,shadow,results/bo_reviewer_packet/temporal_stop_head/22_temporal_stop_head_model.pt,0.133,0.0,False,0.5,,,1.2408,False,,,False
hospital_low_curvature_C_20260708_143004,551,18.900001,1783517414.982793,0.706475,-0.707475,-0.0,2.356817,0.2,0.054166,0.199895,-0.003224,camera_link,18.900001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.06,0.3,0.0542,0.6626,0.0359,6.32,,,gnm_closed_loop,0.2,0.054166,hospital_goal_C,1.2345,True,0.3,0.054166,0.2,0.054166,True,armed,False,,True,shadow,results/bo_reviewer_packet/temporal_stop_head/22_temporal_stop_head_model.pt,0.133,0.0,False,0.5,,,1.2408,False,,,False
hospital_low_curvature_C_20260708_143004,552,18.916668,1783517415.006104,0.704123,-0.705125,-0.0,2.356818,0.2,0.052843,0.199862,-0.003235,camera_link,18.916668,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.55,0.3,0.0528,0.6602,0.0349,6.38,,,gnm_closed_loop,0.2,0.052843,hospital_goal_C,1.2314,True,0.3,0.052843,0.2,0.052843,True,armed,False,,True,shadow,results/bo_reviewer_packet/temporal_stop_head/22_temporal_stop_head_model.pt,0.104,0.0,False,0.5,,,1.2314,False,,,False
hospital_low_curvature_C_20260708_143004,553,18.933334,1783517415.00954,0.701771,-0.702776,-0.0,2.356821,0.2,0.052843,0.199862,-0.003235,camera_link,18.933334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.55,0.3,0.0528,0.6602,0.0349,6.38,,,gnm_closed_loop,0.2,0.052843,hospital_goal_C,1.2282,True,0.3,0.052843,0.2,0.052843,True,armed,False,,True,shadow,results/bo_reviewer_packet/temporal_stop_head/22_temporal_stop_head_model.pt,0.104,0.0,False,0.5,,,1.2314,False,,,False
hospital_low_curvature_C_20260708_143004,554,18.950001,1783517415.011506,0.699418,-0.700426,-0.0,2.356823,0.2,0.052843,0.199862,-0.003235,camera_link,18.950001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.55,0.3,0.0528,0.6602,0.0349,6.38,,,gnm_closed_loop,0.2,0.052843,hospital_goal_C,1.2251,True,0.3,0.052843,0.2,0.052843,True,armed,False,,True,shadow,results/bo_reviewer_packet/temporal_stop_head/22_temporal_stop_head_model.pt,0.104,0.0,False,0.5,,,1.2314,False,,,False
hospital_low_curvature_C_20260708_143004,555,18.966668,1783517415.041947,0.697066,-0.698077,-0.0,2.356825,0.2,0.052332,0.199892,-0.002751,camera_link,18.966668,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,17.52,0.3,0.0523,0.6582,0.0345,6.47,,,gnm_closed_loop,0.2,0.052332,hospital_goal_C,1.2219,True,0.3,0.052332,0.2,0.052332,True,armed,False,,True,shadow,results/bo_reviewer_packet/temporal_stop_head/22_temporal_stop_head_model.pt,0.154,0.0,False,0.5,,,1.2219,False,,,False
hospital_low_curvature_C_20260708_143004,556,18.983334,1783517415.044774,0.694714,-0.695728,-0.0,2.356826,0.2,0.052332,0.199892,-0.002751,camera_link,18.983334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,17.52,0.3,0.0523,0.6582,0.0345,6.47,,,gnm_closed_loop,0.2,0.052332,hospital_goal_C,1.2188,True,0.3,0.052332,0.2,0.052332,True,armed,False,,True,shadow,results/bo_reviewer_packet/temporal_stop_head/22_temporal_stop_head_model.pt,0.154,0.0,False,0.5,,,1.2219,False,,,False
hospital_low_curvature_C_20260708_143004,557,19.000001,1783517415.046793,0.692361,-0.693378,-0.0,2.356828,0.2,0.052332,0.199892,-0.002751,camera_link,19.000001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,17.52,0.3,0.0523,0.6582,0.0345,6.47,,,gnm_closed_loop,0.2,0.052332,hospital_goal_C,1.2156,True,0.3,0.052332,0.2,0.052332,True,armed,False,,True,shadow,results/bo_reviewer_packet/temporal_stop_head/22_temporal_stop_head_model.pt,0.154,0.0,False,0.5,,,1.2219,False,,,False
