zone,episode,spawn,rc,started,ended
searchW1,h8mx_searchW1,"1.0,0.1,3.14159",0,2026-07-15T00:13:56+01:00,2026-07-15T00:25:43+01:00
searchW2,h8mx_searchW2,"-2.0,-0.2,3.14159",0,2026-07-15T00:25:43+01:00,2026-07-15T00:36:35+01:00
