episode_id,step_idx,sim_time,wall_time,robot_position_x,robot_position_y,robot_position_z,robot_yaw,linear_velocity_cmd,angular_velocity_cmd,odom_linear_velocity,odom_angular_velocity,camera_frame_id,image_timestamp,policy_mode,stop_signal,safety_state,notes,shadow_gnm_enabled,shadow_gnm_status,shadow_gnm_model_path,shadow_gnm_latency_ms,shadow_gnm_candidate_linear_velocity,shadow_gnm_candidate_angular_velocity,shadow_gnm_candidate_waypoint_x,shadow_gnm_candidate_waypoint_y,shadow_gnm_goal_distance,shadow_gnm_confidence,shadow_gnm_error,actual_controller,actual_linear_velocity_cmd,actual_angular_velocity_cmd,goal_id,distance_to_goal_m,gnm_control_enabled,gnm_action_raw_linear_velocity,gnm_action_raw_angular_velocity,gnm_action_clipped_linear_velocity,gnm_action_clipped_angular_velocity,action_clipped,watchdog_state,emergency_stop_triggered,stop_reason
gnm_closed_loop_20260708_043548,27,13.666667,1783481751.556607,1.279969,-0.000427,-0.0,9.6e-05,0.2,0.065173,0.199797,-0.005099,camera_link,13.666667,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.38,0.3,0.0652,0.545,0.0356,4.84,,,gnm_closed_loop,0.2,0.065173,bringup_stage_goal_A,1.3187,True,0.3,0.065173,0.2,0.065173,True,armed,False,
gnm_closed_loop_20260708_043548,28,13.683334,1783481751.559312,1.283293,-0.000427,-0.0,0.000102,0.2,0.065173,0.199797,-0.005099,camera_link,13.683334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.38,0.3,0.0652,0.545,0.0356,4.84,,,gnm_closed_loop,0.2,0.065173,bringup_stage_goal_A,1.3156,True,0.3,0.065173,0.2,0.065173,True,armed,False,
gnm_closed_loop_20260708_043548,29,13.700001,1783481751.562087,1.28662,-0.000426,-0.0,0.000108,0.2,0.065173,0.199797,-0.005099,camera_link,13.700001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.38,0.3,0.0652,0.545,0.0356,4.84,,,gnm_closed_loop,0.2,0.065173,bringup_stage_goal_A,1.3125,True,0.3,0.065173,0.2,0.065173,True,armed,False,
gnm_closed_loop_20260708_043548,30,13.716667,1783481751.592787,1.289943,-0.000426,-0.0,0.000114,0.2,0.064103,0.199921,-0.005086,camera_link,13.716667,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,17.68,0.3,0.0641,0.5478,0.0352,4.87,,,gnm_closed_loop,0.2,0.064103,bringup_stage_goal_A,1.3095,True,0.3,0.064103,0.2,0.064103,True,armed,False,
gnm_closed_loop_20260708_043548,31,13.733334,1783481751.595117,1.293268,-0.000426,-0.0,0.00012,0.2,0.064103,0.199921,-0.005086,camera_link,13.733334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,17.68,0.3,0.0641,0.5478,0.0352,4.87,,,gnm_closed_loop,0.2,0.064103,bringup_stage_goal_A,1.3064,True,0.3,0.064103,0.2,0.064103,True,armed,False,
gnm_closed_loop_20260708_043548,32,13.750001,1783481751.596868,1.296593,-0.000426,-0.0,0.000126,0.2,0.064103,0.199921,-0.005086,camera_link,13.750001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,17.68,0.3,0.0641,0.5478,0.0352,4.87,,,gnm_closed_loop,0.2,0.064103,bringup_stage_goal_A,1.3033,True,0.3,0.064103,0.2,0.064103,True,armed,False,
gnm_closed_loop_20260708_043548,33,13.766667,1783481751.619234,1.299918,-0.000425,-0.0,0.000133,0.2,0.063463,0.199844,-0.005179,camera_link,13.766667,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.0,0.3,0.0635,0.5516,0.0351,4.87,,,gnm_closed_loop,0.2,0.063463,bringup_stage_goal_A,1.3002,True,0.3,0.063463,0.2,0.063463,True,armed,False,
gnm_closed_loop_20260708_043548,34,13.783334,1783481751.62131,1.303241,-0.000425,1e-06,0.000136,0.2,0.063463,0.199844,-0.005179,camera_link,13.783334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.0,0.3,0.0635,0.5516,0.0351,4.87,,,gnm_closed_loop,0.2,0.063463,bringup_stage_goal_A,1.2972,True,0.3,0.063463,0.2,0.063463,True,armed,False,
gnm_closed_loop_20260708_043548,35,13.800001,1783481751.623141,1.306564,-0.000424,3e-06,0.000148,0.2,0.063463,0.199844,-0.005179,camera_link,13.800001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.0,0.3,0.0635,0.5516,0.0351,4.87,,,gnm_closed_loop,0.2,0.063463,bringup_stage_goal_A,1.2941,True,0.3,0.063463,0.2,0.063463,True,armed,False,
gnm_closed_loop_20260708_043548,36,13.816667,1783481751.646205,1.309893,-0.000424,0.0,0.000153,0.2,0.06327,0.199742,-0.005116,camera_link,13.816667,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.94,0.3,0.0633,0.553,0.035,4.87,,,gnm_closed_loop,0.2,0.06327,bringup_stage_goal_A,1.291,True,0.3,0.06327,0.2,0.06327,True,armed,False,
gnm_closed_loop_20260708_043548,37,13.833334,1783481751.648306,1.31322,-0.000424,0.0,0.000162,0.2,0.06327,0.199742,-0.005116,camera_link,13.833334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.94,0.3,0.0633,0.553,0.035,4.87,,,gnm_closed_loop,0.2,0.06327,bringup_stage_goal_A,1.288,True,0.3,0.06327,0.2,0.06327,True,armed,False,
