step,raw_vx,raw_wz,safe_vx,safe_wz,intervened,inference_ms,cbf_ms
0,0.3000,0.0112,0.0900,0.0034,0,10.51,0.05
1,0.3000,0.0206,0.1530,0.0085,0,10.42,0.05
2,0.3000,0.0184,0.1971,0.0115,0,10.45,0.05
3,0.3000,0.1107,0.2280,0.0412,0,10.42,0.05
4,0.3000,0.1012,0.2496,0.0592,0,10.42,0.05
5,0.3000,0.0712,0.2647,0.0628,0,10.46,0.05
6,0.3000,0.1062,0.2753,0.0758,0,10.48,0.05
7,0.3000,0.0382,0.2827,0.0645,0,10.62,0.05
8,0.3000,0.1065,0.2879,0.0771,0,10.54,0.05
9,0.3000,0.0188,0.2915,0.0596,0,10.46,0.05
10,0.3000,0.0594,0.2941,0.0596,0,10.89,0.06
11,0.3000,0.0905,0.2958,0.0689,0,10.82,0.05
12,0.3000,0.1040,0.2971,0.0794,0,10.45,0.05
13,0.3000,0.0573,0.2980,0.0728,0,10.92,0.06
14,0.3000,0.1163,0.2986,0.0858,0,10.56,0.05
15,0.3000,0.1026,0.2990,0.0909,0,10.45,0.05
16,0.3000,0.1092,0.2993,0.0964,0,10.74,0.06
17,0.3000,0.0977,0.2995,0.0967,0,10.82,0.06
18,0.3000,0.0858,0.2997,0.0935,0,10.84,0.06
19,0.3000,0.0144,0.2998,0.0698,0,10.96,0.06
20,0.3000,0.1250,0.2998,0.0863,0,10.87,0.06
21,0.3000,0.0727,0.2999,0.0822,0,10.91,0.06
22,0.3000,0.0638,0.2999,0.0767,0,11.01,0.06
23,0.3000,0.0285,0.2999,0.0622,0,10.92,0.06
24,0.3000,0.0345,0.3000,0.0539,0,10.79,0.06
25,0.3000,0.0546,0.3000,0.0541,0,10.87,0.06
26,0.3000,0.0917,0.3000,0.0654,0,10.92,0.06
27,0.3000,0.1151,0.3000,0.0803,0,10.92,0.06
28,0.3000,0.1375,0.3000,0.0975,0,11.23,0.06
29,0.3000,0.0885,0.3000,0.0948,0,11.05,0.06
30,0.3000,0.0790,0.3000,0.0900,0,11.06,0.06
31,0.3000,0.0971,0.3000,0.0921,0,10.85,0.06
32,0.3000,0.0452,0.3000,0.0781,0,11.12,0.07
33,0.3000,0.0424,0.3000,0.0674,0,10.88,0.06
34,0.3000,0.0112,0.3000,0.0505,0,10.75,0.06
35,0.3000,0.0219,0.3000,0.0419,0,10.88,0.06
36,0.3000,0.0191,0.3000,0.0351,0,11.02,0.07
37,0.3000,0.0642,0.3000,0.0438,0,10.85,0.06
38,0.3000,0.0136,0.3000,0.0348,0,10.94,0.06
39,0.3000,0.0379,0.3000,0.0357,0,10.95,0.06
40,0.3000,0.0421,0.3000,0.0376,0,10.86,0.06
41,0.3000,0.1030,0.3000,0.0573,0,10.97,0.06
42,0.3000,0.0753,0.3000,0.0627,0,10.98,0.06
43,0.3000,0.0754,0.3000,0.0665,0,10.84,0.06
44,0.3000,0.1046,0.3000,0.0779,0,10.98,0.06
45,0.3000,0.0832,0.3000,0.0795,0,10.94,0.06
46,0.3000,0.0424,0.3000,0.0684,0,10.83,0.07
47,0.3000,0.0796,0.3000,0.0717,0,10.99,0.06
48,0.3000,0.0099,0.3000,0.0532,0,10.93,0.06
49,0.3000,0.0963,0.3000,0.0661,0,10.81,0.06
50,0.3000,0.0572,0.3000,0.0634,0,10.87,0.06
51,0.3000,0.0607,0.3000,0.0626,0,10.91,0.06
52,0.3000,0.1177,0.3000,0.0791,0,11.14,0.06
53,0.3000,0.0625,0.3000,0.0742,0,11.11,0.06
54,0.3000,0.0415,0.3000,0.0643,0,11.04,0.06
55,0.3000,0.0214,0.3000,0.0515,0,11.01,0.06
56,0.3000,0.0549,0.3000,0.0525,0,10.90,0.06
57,0.3000,0.0141,0.3000,0.0410,0,11.01,0.07
58,0.3000,0.0585,0.3000,0.0462,0,11.01,0.06
59,0.3000,0.0451,0.3000,0.0459,0,11.50,0.07
60,0.3000,0.0828,0.3000,0.0570,0,11.72,0.06
61,0.3000,0.0408,0.3000,0.0521,0,11.17,0.07
62,0.3000,0.0541,0.3000,0.0527,0,10.98,0.06
63,0.3000,0.0426,0.3000,0.0497,0,11.09,0.06
64,0.3000,0.0996,0.3000,0.0647,0,11.19,0.11
65,0.3000,0.1076,0.3000,0.0775,0,11.22,0.06
66,0.3000,0.0576,0.3000,0.0716,0,11.20,0.06
67,0.3000,0.0946,0.3000,0.0785,0,10.85,0.06
68,0.3000,0.0413,0.3000,0.0673,0,10.46,0.05
69,0.3000,0.0835,0.3000,0.0722,0,10.44,0.05
70,0.3000,0.1635,0.3000,0.0996,0,10.61,0.05
71,0.3000,0.0444,0.3000,0.0830,0,10.40,0.05
72,0.3000,0.1210,0.3000,0.0944,0,10.55,0.05
73,0.3000,0.1606,0.3000,0.1143,0,10.66,0.05
74,0.3000,0.0776,0.3000,0.1033,0,10.40,0.05
75,0.3000,0.0559,0.3000,0.0891,0,10.51,0.05
76,0.3000,0.0419,0.3000,0.0749,0,10.56,0.05
77,0.3000,0.1019,0.3000,0.0830,0,10.40,0.05
78,0.3000,0.1247,0.3000,0.0955,0,10.49,0.05
79,0.3000,0.0378,0.3000,0.0782,0,10.58,0.06
80,0.3000,0.0703,0.3000,0.0758,0,10.41,0.05
81,0.3000,0.0886,0.3000,0.0797,0,10.48,0.05
82,0.3000,0.0937,0.3000,0.0839,0,10.61,0.05
83,0.3000,0.0381,0.3000,0.0701,0,11.03,0.06
84,0.3000,0.1197,0.3000,0.0850,0,10.66,0.05
85,0.3000,0.0906,0.3000,0.0867,0,10.47,0.05
86,0.3000,0.0620,0.3000,0.0793,0,10.48,0.06
87,0.3000,0.1100,0.3000,0.0885,0,11.26,0.06
88,0.3000,0.0605,0.3000,0.0801,0,11.00,0.06
89,0.3000,0.0667,0.3000,0.0761,0,10.51,0.05
90,0.3000,0.0601,0.3000,0.0713,0,10.51,0.05
91,0.3000,0.0864,0.3000,0.0758,0,10.52,0.05
92,0.3000,0.0385,0.3000,0.0646,0,10.34,0.05
93,0.3000,0.0571,0.3000,0.0624,0,10.57,0.05
94,0.3000,0.0845,0.3000,0.0690,0,10.40,0.05
95,0.3000,0.0688,0.3000,0.0690,0,10.32,0.05
96,0.3000,0.0160,0.3000,0.0531,0,10.45,0.05
97,0.3000,0.1080,0.3000,0.0695,0,10.42,0.05
98,0.3000,0.0599,0.3000,0.0667,0,10.54,0.05
99,0.3000,0.0893,0.3000,0.0735,0,10.57,0.05
100,0.3000,0.1218,0.3000,0.0880,0,10.42,0.05
101,0.3000,0.0918,0.3000,0.0891,0,10.80,0.06
102,0.3000,0.0493,0.3000,0.0772,0,10.49,0.05
