step,x,y,yaw,dist_to_goal,min_obs_dist
0,-2.4775,0.0000,0.0008,6.9775,3.8012
1,-2.4393,0.0000,0.0030,6.9393,3.7788
2,-2.3900,0.0002,0.0059,6.8900,3.7405
3,-2.3330,0.0005,0.0162,6.8330,3.6913
4,-2.2706,0.0015,0.0310,6.7706,3.6343
5,-2.2045,0.0036,0.0467,6.7045,3.5719
6,-2.1357,0.0068,0.0656,6.6357,3.5057
7,-2.0652,0.0114,0.0818,6.5652,3.4369
8,-1.9934,0.0173,0.1011,6.4935,3.3663
9,-1.9209,0.0246,0.1160,6.4210,3.2944
10,-1.8479,0.0332,0.1309,6.3480,3.2218
11,-1.7746,0.0428,0.1481,6.2747,3.1486
12,-1.7011,0.0538,0.1679,6.2014,3.0751
13,-1.6277,0.0662,0.1861,6.1280,3.0015
14,-1.5543,0.0800,0.2076,6.0549,2.9279
15,-1.4812,0.0954,0.2303,5.9819,2.8544
16,-1.4083,0.1125,0.2544,5.9094,2.7812
17,-1.3359,0.1314,0.2786,5.8373,2.7084
18,-1.2638,0.1520,0.3019,5.7658,2.6360
19,-1.1923,0.1742,0.3194,5.6950,2.5643
20,-1.1211,0.1978,0.3410,5.6246,2.4933
21,-1.0505,0.2228,0.3615,5.5549,2.4229
22,-0.9803,0.2494,0.3807,5.4860,2.3534
23,-0.9107,0.2772,0.3963,5.4178,2.2848
24,-0.8415,0.3062,0.4097,5.3503,2.2172
25,-0.7727,0.3360,0.4233,5.2834,2.1506
26,-0.7044,0.3668,0.4396,5.2173,2.0850
27,-0.6365,0.3988,0.4597,5.1520,2.0205
28,-0.5693,0.4320,0.4841,5.0877,1.9573
29,-0.5029,0.4669,0.5078,5.0247,1.8958
30,-0.4374,0.5034,0.5303,4.9630,1.8362
31,-0.3727,0.5413,0.5533,4.9027,1.7789
32,-0.3089,0.5808,0.5728,4.8438,1.7240
33,-0.2458,0.6214,0.5897,4.7864,1.6717
34,-0.1835,0.6631,0.6023,4.7302,1.6220
35,-0.1217,0.7056,0.6128,4.6753,1.5752
36,-0.0604,0.7487,0.6216,4.6214,1.5311
37,0.0006,0.7924,0.6325,4.5686,1.4898
