step,raw_vx,raw_wz,safe_vx,safe_wz,intervened,inference_ms,cbf_ms
0,0.3000,-0.0126,0.0900,-0.0038,0,2255.70,0.07
1,0.3000,-0.0256,0.1530,-0.0103,0,2258.58,0.07
2,0.3000,0.1027,0.1971,0.0236,0,823.74,0.05
3,0.3000,0.1314,0.2280,0.0559,0,1470.59,0.06
4,0.3000,0.1323,0.2496,0.0788,0,2286.64,0.05
5,0.3000,0.1322,0.2647,0.0948,0,2243.26,0.05
6,0.3000,0.0740,0.2753,0.0886,0,2277.12,0.05
7,0.3000,0.0921,0.2827,0.0896,0,2252.68,0.05
8,0.3000,0.0605,0.2879,0.0809,0,2293.77,0.06
9,0.3000,0.1451,0.2915,0.1001,0,2259.53,0.05
10,0.3000,0.0576,0.2941,0.0874,0,2308.72,0.05
11,0.3000,0.0984,0.2958,0.0907,0,2245.67,0.05
12,0.3000,0.0411,0.2971,0.0758,0,2244.71,0.05
13,0.3000,0.0595,0.2980,0.0709,0,2266.76,0.05
14,0.3000,0.0153,0.2986,0.0542,0,2277.62,0.05
15,0.3000,0.0505,0.2990,0.0531,0,2242.67,0.05
16,0.3000,0.0028,0.2993,0.0380,0,2264.76,0.06
17,0.3000,0.0763,0.2995,0.0495,0,2270.52,0.05
18,0.3000,0.0679,0.2997,0.0550,0,2282.80,0.06
19,0.3000,0.0481,0.2998,0.0529,0,2300.56,0.06
20,0.3000,0.1096,0.2998,0.0699,0,2361.53,0.05
21,0.3000,0.0665,0.2999,0.0689,0,2242.72,0.05
22,0.3000,0.0173,0.2999,0.0534,0,2075.58,0.05
23,0.3000,0.0406,0.2999,0.0496,0,6.80,0.04
24,0.3000,0.0892,0.3000,0.0615,0,8.61,0.04
25,0.3000,0.0955,0.3000,0.0717,0,6.42,0.04
26,0.3000,0.0582,0.3000,0.0676,0,9.67,0.04
27,0.3000,0.0657,0.3000,0.0671,0,13.49,0.04
28,0.3000,0.1359,0.3000,0.0877,0,21.57,0.15
29,0.3000,0.0587,0.3000,0.0790,0,19.37,0.04
30,0.3000,0.0322,0.3000,0.0650,0,28.12,0.05
31,0.3000,0.0047,0.3000,0.0469,0,2097.46,0.05
32,0.3000,0.0434,0.3000,0.0458,0,2283.67,0.06
33,0.3000,0.0184,0.3000,0.0376,0,105.40,0.05
34,0.3000,0.0303,0.3000,0.0354,0,120.14,0.05
35,0.3000,0.1418,0.3000,0.0673,0,19.36,0.05
36,0.3000,0.0515,0.3000,0.0626,0,22.63,0.05
37,0.3000,0.0114,0.3000,0.0472,0,1892.00,0.06
38,0.3000,0.0366,0.3000,0.0440,0,2234.60,0.06
39,0.3000,0.0222,0.3000,0.0375,0,2293.60,0.06
40,0.3000,0.0309,0.3000,0.0355,0,2305.64,0.06
41,0.3000,0.0259,0.3000,0.0326,0,2320.55,0.05
42,0.3000,0.0221,0.3000,0.0295,0,2282.14,0.06
43,0.3000,0.0324,0.3000,0.0303,0,427.20,0.06
44,0.3000,0.0435,0.3000,0.0343,0,287.68,0.04
45,0.3000,0.0845,0.3000,0.0493,0,2279.62,0.06
46,0.3000,0.1177,0.3000,0.0698,0,2005.85,0.06
47,0.3000,0.1344,0.3000,0.0892,0,162.18,0.06
48,0.3000,0.1372,0.3000,0.1036,0,1338.79,0.06
49,0.3000,0.0689,0.3000,0.0932,0,2243.62,0.06
50,0.3000,0.0278,0.3000,0.0736,0,2267.98,0.06
51,0.3000,0.0920,0.3000,0.0791,0,2248.23,0.06
52,0.3000,0.0408,0.3000,0.0676,0,2252.57,0.05
53,0.3000,0.0670,0.3000,0.0674,0,2322.67,0.05
54,0.3000,0.0350,0.3000,0.0577,0,1029.56,0.05
