step,x,y,yaw,dist_to_goal,min_obs_dist
0,-2.4775,0.0000,-0.0009,6.9775,3.8012
1,-2.4393,-0.0000,-0.0035,6.9393,3.7788
2,-2.3900,-0.0002,0.0024,6.8900,3.7405
3,-2.3330,-0.0001,0.0164,6.8330,3.6913
4,-2.2706,0.0009,0.0361,6.7706,3.6343
5,-2.2045,0.0033,0.0598,6.7045,3.5719
6,-2.1358,0.0074,0.0819,6.6358,3.5057
7,-2.0653,0.0132,0.1043,6.5653,3.4369
8,-1.9937,0.0207,0.1245,6.4938,3.3664
9,-1.9214,0.0298,0.1496,6.4215,3.2946
10,-1.8487,0.0407,0.1714,6.3489,3.2221
11,-1.7759,0.0533,0.1941,6.2761,3.1493
12,-1.7030,0.0677,0.2131,6.2033,3.0762
13,-1.6302,0.0834,0.2308,6.1307,3.0031
14,-1.5575,0.1005,0.2443,6.0583,2.9302
15,-1.4850,0.1186,0.2576,5.9861,2.8575
16,-1.4126,0.1376,0.2671,5.9142,2.7850
17,-1.3404,0.1574,0.2795,5.8425,2.7129
18,-1.2684,0.1781,0.2932,5.7711,2.6410
19,-1.1966,0.1997,0.3065,5.7001,2.5695
20,-1.1252,0.2224,0.3240,5.6296,2.4985
21,-1.0541,0.2462,0.3412,5.5596,2.4280
22,-0.9834,0.2713,0.3545,5.4902,2.3583
23,-0.9131,0.2973,0.3669,5.4213,2.2893
24,-0.8431,0.3242,0.3823,5.3530,2.2212
25,-0.7735,0.3522,0.4002,5.2853,2.1538
26,-0.7045,0.3814,0.4171,5.2184,2.0875
27,-0.6359,0.4118,0.4339,5.1524,2.0224
28,-0.5679,0.4433,0.4558,5.0872,1.9586
29,-0.5005,0.4764,0.4756,5.0232,1.8962
30,-0.4338,0.5107,0.4918,4.9602,1.8356
31,-0.3677,0.5461,0.5035,4.8983,1.7770
32,-0.3020,0.5823,0.5150,4.8372,1.7203
33,-0.2368,0.6192,0.5244,4.7771,1.6655
34,-0.1719,0.6568,0.5332,4.7178,1.6127
35,-0.1073,0.6949,0.5501,4.6594,1.5621
36,-0.0433,0.7341,0.5657,4.6023,1.5138
37,0.0200,0.7743,0.5775,4.5464,1.4685
38,0.0828,0.8153,0.5885,4.4918,1.4264
39,0.1452,0.8569,0.5979,4.4383,1.3875
40,0.2072,0.8991,0.6068,4.3860,1.3519
41,0.2688,0.9419,0.6149,4.3348,1.3199
42,0.3301,0.9852,0.6223,4.2847,1.2915
43,0.3910,1.0289,0.6299,4.2358,1.2671
44,0.4516,1.0731,0.6384,4.1882,1.2466
45,0.5118,1.1177,0.6508,4.1418,1.2304
46,0.5715,1.1632,0.6682,4.0971,1.2185
47,0.6304,1.2097,0.6905,4.0543,1.2115
48,0.6882,1.2574,0.7164,4.0138,1.2098
49,0.7448,1.3067,0.7397,3.9761,1.2137
50,0.8002,1.3572,0.7581,3.9409,1.2235
51,0.8546,1.4088,0.7779,3.9081,1.2389
52,0.9080,1.4614,0.7948,3.8779,1.2593
53,0.9606,1.5150,0.8117,3.8500,1.2846
54,1.0122,1.5694,0.8261,3.8246,1.3143
55,1.0630,1.6245,0.8411,3.8016,1.3482
56,1.1130,1.6804,0.8587,3.7809,1.3859
57,1.1620,1.7372,0.8777,3.7630,1.4271
58,1.2100,1.7949,0.8912,3.7478,1.4717
59,1.2571,1.8532,0.9038,3.7351,1.5195
60,1.3035,1.9122,0.9200,3.7248,1.5700
61,1.3489,1.9718,0.9408,3.7172,1.6228
62,1.3931,2.0324,0.9617,3.7126,1.6779
63,1.4360,2.0940,0.9773,3.7112,1.7354
64,1.4780,2.1561,0.9964,3.7124,1.7950
65,1.5187,2.2191,1.0158,3.7165,1.8562
66,1.5582,2.2828,1.0316,3.7236,1.9192
67,1.5967,2.3472,1.0432,3.7334,1.9836
68,1.6345,2.4120,1.0536,3.7455,2.0493
69,1.6716,2.4772,1.0722,3.7598,2.1159
70,1.7074,2.5431,1.0894,3.7770,2.1834
71,1.7422,2.6095,1.1031,3.7967,2.2518
72,1.7760,2.6765,1.1155,3.8189,2.3212
73,1.8090,2.7438,1.1282,3.8432,2.3912
74,1.8411,2.8116,1.1422,3.8698,2.4618
75,1.8723,2.8798,1.1543,3.8985,2.5330
76,1.9026,2.9484,1.1703,3.9293,2.6046
77,1.9318,3.0175,1.1845,3.9624,2.6767
78,1.9601,3.0869,1.2020,3.9975,2.7493
79,1.9871,3.1569,1.2189,4.0349,2.8222
80,2.0130,3.2273,1.2430,4.0744,2.8955
81,2.0371,3.2983,1.2677,4.1164,2.9691
82,2.0595,3.3699,1.2992,4.1608,3.0431
83,2.0796,3.4421,1.3313,4.2079,3.1174
84,2.0974,3.5150,1.3545,4.2576,3.1920
85,2.1135,3.5883,1.3757,4.3094,3.2669
86,2.1281,3.6618,1.3943,4.3629,3.3418
87,2.1412,3.7357,1.4117,4.4180,3.4168
88,2.1531,3.8097,1.4296,4.4746,3.4918
