episode,family,incumbent_success,incumbent_NE_m,candidate_success,candidate_NE_m,candidate_SPL,candidate_nDTW,h6ref_success,h6ref_NE_m
h7r_turn_02,turn_t_junction,0,15.07,1,2.61,0.816,0.63,0,4.86
h7r_waiting_02,waiting_to_doorway,0,15.78,1,2.47,1.0,0.662,1,2.38
