episode_id,step_idx,sim_time,wall_time,robot_position_x,robot_position_y,robot_position_z,robot_yaw,linear_velocity_cmd,angular_velocity_cmd,odom_linear_velocity,odom_angular_velocity,camera_frame_id,image_timestamp,policy_mode,stop_signal,safety_state,notes,shadow_gnm_enabled,shadow_gnm_status,shadow_gnm_model_path,shadow_gnm_latency_ms,shadow_gnm_candidate_linear_velocity,shadow_gnm_candidate_angular_velocity,shadow_gnm_candidate_waypoint_x,shadow_gnm_candidate_waypoint_y,shadow_gnm_goal_distance,shadow_gnm_confidence,shadow_gnm_error,actual_controller,actual_linear_velocity_cmd,actual_angular_velocity_cmd,collision_detected,collision_count_so_far,collision_body,experiment_id,pair_id,condition,stop_rule_name,stop_rule_threshold,stop_rule_k,stop_rule_ratio,initial_predicted_distance,normalized_predicted_distance,stop_triggered,goal_id,distance_to_goal_m,gnm_control_enabled,gnm_action_raw_linear_velocity,gnm_action_raw_angular_velocity,gnm_action_clipped_linear_velocity,gnm_action_clipped_angular_velocity,action_clipped,watchdog_state,emergency_stop_triggered,stop_reason
h2_td_I_20260709_162827,11,9.900001,1783611709.418785,2.238459,2.488849,0.041118,-3.117691,0.2,-0.0959,0.199181,0.005822,camera_link,9.900001,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,4.62,0.9591,-0.0959,0.2398,-0.0057,0.5983,,,gnm_closed_loop,0.2,-0.0959,True,22,/World/Hospital/SM_ReceptionDesk_01a_46/SM_ReceptionDesk_01a,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=occluded_corridor,,,,,,,False,h2_corridor_I,6.2385,True,0.9591,-0.0959,0.2,-0.0959,True,armed,False,
h2_td_I_20260709_162827,12,9.916667,1783611712.48655,2.235133,2.488768,0.041103,-3.117685,0.2,-0.0959,0.198827,-0.001051,camera_link,9.916667,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,4.36,0.9591,-0.0959,0.2398,-0.0057,0.5983,,,gnm_closed_loop,0.2,-0.0959,True,24,/World/Hospital/SM_ReceptionDesk_01a_46/SM_ReceptionDesk_01a,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=occluded_corridor,,,,,,,False,h2_corridor_I,6.2351,True,0.9591,-0.0959,0.2,-0.0959,True,armed,False,
h2_td_I_20260709_162827,13,9.933334,1783611712.488869,2.231849,2.488684,0.041131,-3.117728,0.2,-0.0959,0.198827,-0.001051,camera_link,9.933334,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,4.36,0.9591,-0.0959,0.2398,-0.0057,0.5983,,,gnm_closed_loop,0.2,-0.0959,True,26,/World/Hospital/SM_ReceptionDesk_01a_46/SM_ReceptionDesk_01a,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=occluded_corridor,,,,,,,False,h2_corridor_I,6.2319,True,0.9591,-0.0959,0.2,-0.0959,True,armed,False,
h2_td_I_20260709_162827,14,9.950001,1783611712.490944,2.230475,2.487825,0.04111,-3.128401,0.2,-0.0959,0.198827,-0.001051,camera_link,9.950001,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,4.36,0.9591,-0.0959,0.2398,-0.0057,0.5983,,,gnm_closed_loop,0.2,-0.0959,True,28,/World/Hospital/SM_ReceptionDesk_01a_46/SM_ReceptionDesk_01a,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=occluded_corridor,,,,,,,False,h2_corridor_I,6.2305,True,0.9591,-0.0959,0.2,-0.0959,True,armed,False,
h2_td_I_20260709_162827,15,9.966667,1783611727.844759,2.229323,2.487065,0.04114,-3.138234,0.2,-0.0959,0.08048,-0.684075,camera_link,9.966667,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,4.15,0.9591,-0.0959,0.2398,-0.0057,0.5983,,,gnm_closed_loop,0.2,-0.0959,True,30,/World/Hospital/SM_ReceptionDesk_01a_46/SM_ReceptionDesk_01a,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=occluded_corridor,,,,,,,False,h2_corridor_I,6.2293,True,0.9591,-0.0959,0.2,-0.0959,True,armed,False,
h2_td_I_20260709_162827,16,9.983334,1783611727.847278,2.22893,2.486616,0.041112,3.141588,0.2,-0.0959,0.08048,-0.684075,camera_link,9.983334,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,4.15,0.9591,-0.0959,0.2398,-0.0057,0.5983,,,gnm_closed_loop,0.2,-0.0959,True,32,/World/Hospital/SM_ReceptionDesk_01a_46/SM_ReceptionDesk_01a,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=occluded_corridor,,,,,,,False,h2_corridor_I,6.2289,True,0.9591,-0.0959,0.2,-0.0959,True,armed,False,
h2_td_I_20260709_162827,17,10.000001,1783611727.849323,2.22893,2.486616,0.041096,-3.141592,0.2,-0.0959,0.08048,-0.684075,camera_link,10.000001,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,4.15,0.9591,-0.0959,0.2398,-0.0057,0.5983,,,gnm_closed_loop,0.2,-0.0959,True,34,/World/Hospital/SM_ReceptionDesk_01a_46/SM_ReceptionDesk_01a,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=occluded_corridor,,,,,,,False,h2_corridor_I,6.2289,True,0.9591,-0.0959,0.2,-0.0959,True,armed,False,
h2_td_I_20260709_162827,18,10.016667,1783611727.865237,2.228923,2.486614,0.041104,-3.141589,0.2,-0.0959,-0.000927,0.006315,camera_link,10.016667,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,4.61,0.9591,-0.0959,0.2398,-0.0057,0.5983,,,gnm_closed_loop,0.2,-0.0959,True,36,/World/Hospital/SM_ReceptionDesk_01a_46/SM_ReceptionDesk_01a,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=occluded_corridor,,,,,,,False,h2_corridor_I,6.2289,True,0.9591,-0.0959,0.2,-0.0959,True,armed,False,
h2_td_I_20260709_162827,19,10.033334,1783611727.867631,2.228938,2.486595,0.041114,3.141589,0.2,-0.0959,-0.000927,0.006315,camera_link,10.033334,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,4.61,0.9591,-0.0959,0.2398,-0.0057,0.5983,,,gnm_closed_loop,0.2,-0.0959,True,38,/World/Hospital/SM_ReceptionDesk_01a_46/SM_ReceptionDesk_01a,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=occluded_corridor,,,,,,,False,h2_corridor_I,6.229,True,0.9591,-0.0959,0.2,-0.0959,True,armed,False,
h2_td_I_20260709_162827,20,10.050001,1783611727.869661,2.228934,2.486615,0.041088,-3.141581,0.2,-0.0959,-0.000927,0.006315,camera_link,10.050001,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,4.61,0.9591,-0.0959,0.2398,-0.0057,0.5983,,,gnm_closed_loop,0.2,-0.0959,True,40,/World/Hospital/SM_ReceptionDesk_01a_46/SM_ReceptionDesk_01a,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=occluded_corridor,,,,,,,False,h2_corridor_I,6.2289,True,0.9591,-0.0959,0.2,-0.0959,True,armed,False,
