step,raw_vx,raw_wz,safe_vx,safe_wz,intervened,inference_ms,cbf_ms
0,0.3000,0.0191,0.0900,0.0057,0,82.68,0.06
1,0.3000,0.0629,0.1530,0.0229,0,41.43,0.06
2,0.3000,0.0307,0.1971,0.0252,0,1186.85,0.06
3,0.3000,0.0941,0.2280,0.0459,0,2291.60,0.06
4,0.3000,0.1759,0.2496,0.0849,0,2292.63,0.06
5,0.3000,0.2111,0.2647,0.1228,0,2193.58,0.06
6,0.3000,0.0530,0.2753,0.1018,0,689.34,0.05
7,0.3000,0.0274,0.2827,0.0795,0,107.17,0.06
8,0.3000,0.0772,0.2879,0.0788,0,1732.43,0.06
9,0.3000,0.0527,0.2915,0.0710,0,2285.60,0.06
10,0.3000,0.0857,0.2941,0.0754,0,2319.61,0.06
11,0.3000,0.0662,0.2958,0.0726,0,1913.61,0.06
12,0.3000,0.0969,0.2971,0.0799,0,1382.69,0.06
13,0.3000,0.0222,0.2980,0.0626,0,2355.51,0.06
14,0.3000,0.0139,0.2986,0.0480,0,2267.57,0.05
15,0.3000,0.0892,0.2990,0.0603,0,2293.66,0.05
16,0.3000,0.0575,0.2993,0.0595,0,2288.75,0.06
17,0.3000,0.0916,0.2995,0.0691,0,2316.60,0.06
18,0.3000,0.0881,0.2997,0.0748,0,628.16,0.06
19,0.3000,0.0448,0.2998,0.0658,0,2294.13,0.06
20,0.3000,0.0857,0.2998,0.0718,0,2245.64,0.06
21,0.3000,0.0486,0.2999,0.0648,0,1520.55,0.06
22,0.3000,0.1109,0.2999,0.0786,0,2257.59,0.06
23,0.3000,0.0664,0.2999,0.0750,0,2394.58,0.05
24,0.3000,0.0398,0.3000,0.0644,0,2282.72,0.05
25,0.3000,0.0126,0.3000,0.0489,0,2292.71,0.06
26,0.3000,0.0636,0.3000,0.0533,0,2293.61,0.06
27,0.3000,0.0634,0.3000,0.0563,0,361.09,0.05
28,0.3000,0.0697,0.3000,0.0603,0,244.71,0.06
29,0.3000,0.0566,0.3000,0.0592,0,1592.57,0.06
30,0.3000,0.0468,0.3000,0.0555,0,2321.21,0.06
31,0.3000,0.1255,0.3000,0.0765,0,349.46,0.06
32,0.3000,0.0140,0.3000,0.0578,0,187.34,0.06
33,0.3000,0.0311,0.3000,0.0498,0,424.02,0.06
34,0.3000,0.0169,0.3000,0.0399,0,2259.57,0.06
35,0.3000,0.1003,0.3000,0.0580,0,1625.70,0.05
36,0.3000,0.0161,0.3000,0.0454,0,336.63,0.06
37,0.3000,0.0190,0.3000,0.0375,0,307.58,0.05
38,0.3000,0.0079,0.3000,0.0286,0,2297.70,0.05
39,0.3000,0.0372,0.3000,0.0312,0,2291.77,0.06
40,0.3000,0.0914,0.3000,0.0492,0,2293.60,0.06
41,0.3000,0.0865,0.3000,0.0604,0,1503.14,0.06
42,0.3000,0.0178,0.3000,0.0476,0,864.05,0.06
43,0.3000,0.0316,0.3000,0.0428,0,2304.60,0.06
44,0.3000,0.0473,0.3000,0.0441,0,2270.58,0.06
45,0.3000,0.0662,0.3000,0.0508,0,1895.64,0.07
46,0.3000,0.1118,0.3000,0.0691,0,2299.51,0.05
47,0.3000,0.0860,0.3000,0.0742,0,2264.77,0.06
48,0.3000,0.1028,0.3000,0.0828,0,967.52,0.07
49,0.3000,0.0331,0.3000,0.0679,0,2220.69,0.06
50,0.3000,0.0540,0.3000,0.0637,0,2285.63,0.07
51,0.3000,0.1421,0.3000,0.0872,0,2321.56,0.06
52,0.3000,0.0813,0.3000,0.0854,0,2359.62,0.06
53,0.3000,0.0768,0.3000,0.0829,0,2293.65,0.06
54,0.3000,0.0695,0.3000,0.0789,0,1600.15,0.06
55,0.3000,0.0481,0.3000,0.0696,0,359.65,0.06
56,0.3000,0.0729,0.3000,0.0706,0,2321.98,0.06
57,0.3000,0.1217,0.3000,0.0859,0,2362.73,0.06
58,0.3000,0.0637,0.3000,0.0793,0,2312.61,0.06
59,0.3000,0.1317,0.3000,0.0950,0,2275.56,0.06
60,0.3000,0.0509,0.3000,0.0818,0,2370.61,0.06
61,0.3000,0.0972,0.3000,0.0864,0,2275.61,0.06
62,0.3000,0.0717,0.3000,0.0820,0,2296.60,0.06
63,0.3000,0.1413,0.3000,0.0998,0,2265.61,0.06
64,0.3000,0.1014,0.3000,0.1002,0,2317.55,0.05
65,0.3000,0.0227,0.3000,0.0770,0,2071.74,0.06
