step,x,y,yaw,dist_to_goal,min_obs_dist
0,-2.4775,0.0000,-0.0050,6.9775,3.8012
1,-2.4393,-0.0002,-0.0080,6.9393,3.7788
2,-2.3900,-0.0006,-0.0073,6.8900,3.7405
3,-2.3330,-0.0010,0.0003,6.8330,3.6913
4,-2.2706,-0.0010,0.0162,6.7706,3.6343
5,-2.2044,0.0001,0.0311,6.7044,3.5719
6,-2.1356,0.0022,0.0470,6.6356,3.5058
7,-2.0650,0.0056,0.0616,6.5650,3.4369
8,-1.9932,0.0100,0.0798,6.4932,3.3663
9,-1.9205,0.0158,0.0985,6.4206,3.2944
10,-1.8474,0.0230,0.1203,6.3474,3.2216
11,-1.7740,0.0319,0.1380,6.2740,3.1483
12,-1.7004,0.0421,0.1554,6.2005,3.0747
13,-1.6268,0.0537,0.1686,6.1270,3.0009
14,-1.5532,0.0662,0.1785,6.0536,2.9271
15,-1.4797,0.0795,0.1878,5.9802,2.8534
16,-1.4061,0.0934,0.1987,5.9069,2.7797
17,-1.3327,0.1082,0.2111,5.8337,2.7062
18,-1.2595,0.1239,0.2217,5.7608,2.6328
19,-1.1864,0.1404,0.2412,5.6881,2.5596
20,-1.1136,0.1583,0.2584,5.6158,2.4867
21,-1.0411,0.1775,0.2774,5.5440,2.4142
22,-0.9690,0.1980,0.2989,5.4726,2.3423
23,-0.8973,0.2201,0.3192,5.4018,2.2709
24,-0.8261,0.2436,0.3389,5.3317,2.2003
25,-0.7554,0.2685,0.3600,5.2623,2.1306
26,-0.6852,0.2949,0.3783,5.1936,2.0617
27,-0.6155,0.3226,0.3958,5.1257,1.9939
28,-0.5463,0.3516,0.4084,5.0586,1.9272
29,-0.4775,0.3813,0.4203,4.9921,1.8617
30,-0.4090,0.4119,0.4352,4.9263,1.7974
31,-0.3410,0.4436,0.4545,4.8613,1.7343
32,-0.2736,0.4765,0.4754,4.7974,1.6728
33,-0.2070,0.5108,0.4958,4.7346,1.6132
34,-0.1410,0.5465,0.5167,4.6730,1.5557
35,-0.0758,0.5835,0.5397,4.6128,1.5006
36,-0.0114,0.6221,0.5615,4.5541,1.4483
37,0.0521,0.6620,0.5841,4.4969,1.3991
38,0.1146,0.7034,0.6024,4.4414,1.3532
39,0.1764,0.7459,0.6223,4.3874,1.3111
40,0.2374,0.7896,0.6401,4.3352,1.2728
41,0.2975,0.8344,0.6568,4.2845,1.2387
42,0.3569,0.8802,0.6750,4.2356,1.2090
43,0.4155,0.9270,0.6937,4.1884,1.1840
44,0.4731,0.9750,0.7111,4.1432,1.1639
45,0.5299,1.0240,0.7246,4.1000,1.1491
46,0.5861,1.0737,0.7370,4.0585,1.1397
47,0.6416,1.1241,0.7541,4.0188,1.1354
48,0.6963,1.1754,0.7683,3.9812,1.1362
49,0.7502,1.2275,0.7807,3.9456,1.1426
50,0.8035,1.2803,0.7959,3.9119,1.1541
51,0.8560,1.3339,0.8138,3.8805,1.1705
52,0.9075,1.3884,0.8301,3.8515,1.1919
53,0.9581,1.4438,0.8460,3.8248,1.2181
54,1.0078,1.4999,0.8617,3.8007,1.2489
55,1.0567,1.5568,0.8743,3.7789,1.2839
56,1.1048,1.6144,0.8899,3.7595,1.3228
57,1.1520,1.6727,0.9072,3.7426,1.3651
58,1.1982,1.7317,0.9251,3.7284,1.4107
59,1.2433,1.7916,0.9418,3.7170,1.4594
60,1.2875,1.8523,0.9564,3.7083,1.5110
61,1.3307,1.9136,0.9693,3.7022,1.5651
62,1.3731,1.9754,0.9812,3.6986,1.6215
63,1.4148,2.0377,0.9973,3.6974,1.6797
64,1.4555,2.1007,1.0124,3.6989,1.7396
65,1.4953,2.1644,1.0315,3.7031,1.8012
66,1.5338,2.2287,1.0520,3.7102,1.8644
67,1.5710,2.2938,1.0693,3.7203,1.9290
68,1.6070,2.3596,1.0850,3.7332,1.9950
69,1.6420,2.4259,1.1044,3.7487,2.0621
70,1.6758,2.4929,1.1252,3.7671,2.1303
71,1.7081,2.5606,1.1442,3.7883,2.1994
72,1.7391,2.6289,1.1712,3.8123,2.2694
73,1.7683,2.6980,1.2027,3.8394,2.3402
74,1.7953,2.7679,1.2321,3.8700,2.4118
75,1.8202,2.8387,1.2608,3.9038,2.4842
76,1.8431,2.9101,1.2898,3.9406,2.5573
77,1.8639,2.9822,1.3241,3.9803,2.6310
78,1.8822,3.0549,1.3593,4.0231,2.7050
79,1.8979,3.1282,1.3865,4.0690,2.7795
80,1.9117,3.2020,1.4136,4.1173,2.8543
81,1.9234,3.2760,1.4374,4.1679,2.9292
82,1.9334,3.3504,1.4621,4.2205,3.0041
83,1.9415,3.4249,1.4882,4.2750,3.0791
84,1.9477,3.4997,1.5148,4.3315,3.1541
85,1.9519,3.5745,1.5396,4.3898,3.2290
86,1.9543,3.6495,1.5658,4.4497,3.3038
87,1.9546,3.7245,1.5946,4.5112,3.3785
88,1.9528,3.7995,1.6232,4.5743,3.4529
89,1.9489,3.8744,1.6546,4.6389,3.5271
90,1.9426,3.9491,1.6817,4.7049,3.6010
91,1.9343,4.0237,1.7053,4.7721,3.6745
92,1.9243,4.0980,1.7231,4.8402,3.7476
93,1.9129,4.1721,1.7466,4.9091,3.8204
94,1.8998,4.2460,1.7754,4.9789,3.8930
95,1.8845,4.3194,1.7999,5.0495,3.9652
96,1.8675,4.3924,1.8214,5.1209,4.0369
97,1.8489,4.4651,1.8383,5.1928,4.1081
98,1.8291,4.5374,1.8537,5.2652,4.1790
99,1.8081,4.6094,1.8726,5.3379,4.2496
100,1.7859,4.6811,1.8979,5.4110,4.3200
101,1.7618,4.7521,1.9243,5.4845,4.3900
102,1.7358,4.8224,1.9530,5.5585,4.4594
103,1.7078,4.8920,1.9771,5.6328,4.5283
104,1.6782,4.9609,2.0005,5.7073,4.5965
105,1.6469,5.0291,2.0228,5.7820,4.6642
106,1.6142,5.0966,2.0476,5.8569,4.7313
107,1.5798,5.1632,2.0702,5.9318,4.7979
108,1.5438,5.2290,2.0932,6.0068,4.8638
109,1.5064,5.2940,2.1138,6.0818,4.9292
110,1.4677,5.3583,2.1333,6.1568,4.9941
111,1.4277,5.4217,2.1560,6.2317,5.0584
112,1.3862,5.4842,2.1767,6.3065,5.1222
113,1.3435,5.5459,2.1977,6.3812,5.1854
114,1.2995,5.6066,2.2181,6.4558,5.2481
115,1.2543,5.6664,2.2340,6.5302,5.3103
116,1.2081,5.7255,2.2512,6.6044,5.3719
117,1.1609,5.7838,2.2717,6.6785,5.4331
118,1.1126,5.8412,2.2930,6.7523,5.4939
119,1.0630,5.8974,2.3176,6.8259,5.5542
120,1.0120,5.9525,2.3375,6.8991,5.6139
121,0.9600,6.0065,2.3545,6.9720,5.6728
122,0.9071,6.0596,2.3712,7.0447,5.7311
123,0.8533,6.1118,2.3894,7.1171,5.7890
124,0.7985,6.1631,2.4104,7.1892,5.8465
125,0.7427,6.2132,2.4297,7.2609,5.9035
126,0.6859,6.2622,2.4459,7.3323,5.9599
127,0.6283,6.3102,2.4629,7.4033,6.0157
128,0.5699,6.3573,2.4869,7.4740,6.0711
129,0.5104,6.4030,2.5097,7.5442,6.1261
130,0.4499,6.4473,2.5297,7.6138,6.1802
131,0.3885,6.4904,2.5474,7.6830,6.2336
132,0.3264,6.5324,2.5650,7.7518,6.2863
133,0.2635,6.5732,2.5803,7.8202,6.3385
134,0.2000,6.6132,2.5978,7.8882,6.3903
135,0.1358,6.6520,2.6171,7.9558,6.4416
136,0.0709,6.6895,2.6385,8.0229,6.4925
137,0.0052,6.7257,2.6567,8.0894,6.5427
138,-0.0612,6.7606,2.6757,8.1554,6.5922
139,-0.1282,6.7943,2.6955,8.2209,6.6412
140,-0.1958,6.8267,2.7149,8.2858,6.6895
141,-0.2641,6.8577,2.7343,8.3502,6.7372
142,-0.3330,6.8874,2.7542,8.4139,6.7842
143,-0.4024,6.9158,2.7715,8.4771,6.8306
144,-0.4723,6.9429,2.7903,8.5398,6.8763
145,-0.5427,6.9687,2.8162,8.6019,6.9215
146,-0.6138,6.9927,2.8408,8.6631,6.9660
147,-0.6854,7.0149,2.8633,8.7234,7.0095
148,-0.7576,7.0355,2.8868,8.7830,7.0520
149,-0.8301,7.0544,2.9072,8.8417,7.0937
150,-0.9031,7.0718,2.9230,8.8997,7.1344
151,-0.9763,7.0881,2.9396,8.9572,7.1744
152,-1.0498,7.1031,2.9521,9.0141,7.2139
153,-1.1234,7.1173,2.9651,9.0708,7.2529
154,-1.1973,7.1304,2.9800,9.1270,7.2916
155,-1.2713,7.1425,3.0016,9.1828,7.3301
156,-1.3456,7.1530,3.0208,9.2377,7.3682
157,-1.4200,7.1620,3.0421,9.2920,7.4054
158,-1.4946,7.1695,3.0614,9.3454,7.4419
159,-1.5694,7.1755,3.0767,9.3981,7.4776
160,-1.6442,7.1803,3.0964,9.4503,7.5126
161,-1.7192,7.1837,3.1133,9.5018,7.5471
162,-1.7941,7.1858,3.1254,9.5526,7.5809
163,-1.8691,7.1871,3.1367,9.6031,7.6141
164,-1.9441,7.1874,3.1494,9.6533,7.6471
165,-2.0191,7.1868,3.1677,9.7031,7.6799
166,-2.0941,7.1849,3.1879,9.7522,7.7125
167,-2.1690,7.1814,3.2062,9.8004,7.7444
168,-2.2439,7.1766,3.2271,9.8480,7.7755
169,-2.3186,7.1702,3.2453,9.8947,7.8059
170,-2.3932,7.1624,3.2616,9.9406,7.8355
171,-2.4676,7.1534,3.2782,9.9860,7.8644
172,-2.5419,7.1432,3.2945,10.0307,7.8928
173,-2.6161,7.1318,3.3111,10.0748,7.9206
174,-2.6900,7.1191,3.3262,10.1182,7.9479
175,-2.7637,7.1054,3.3432,10.1611,7.9746
176,-2.8372,7.0903,3.3560,10.2033,8.0009
177,-2.9105,7.0744,3.3701,10.2451,8.0266
178,-2.9835,7.0574,3.3838,10.2864,8.0519
179,-3.0563,7.0394,3.3999,10.3272,8.0769
180,-3.1289,7.0202,3.4148,10.3674,8.1015
181,-3.2011,7.0000,3.4282,10.4070,8.1256
182,-3.2730,6.9788,3.4392,10.4462,8.1493
183,-3.3447,6.9568,3.4497,10.4851,8.1725
184,-3.4162,6.9341,3.4628,10.5236,8.1957
185,-3.4873,6.9104,3.4780,10.5618,8.2186
186,-3.5581,6.8856,3.4939,10.5993,8.2413
187,-3.6285,6.8598,3.5082,10.6362,8.2634
188,-3.6986,6.8329,3.5206,10.6726,8.2851
189,-3.7682,6.8051,3.5330,10.7086,8.3063
190,-3.8376,6.7765,3.5448,10.7441,8.3272
191,-3.9065,6.7471,3.5598,10.7793,8.3478
192,-3.9751,6.7166,3.5730,10.8139,8.3682
193,-4.0432,6.6853,3.5899,10.8480,8.3881
194,-4.1108,6.6528,3.6058,10.8814,8.4077
195,-4.1779,6.6192,3.6225,10.9142,8.4267
196,-4.2444,6.5845,3.6426,10.9462,8.4451
197,-4.3101,6.5485,3.6614,10.9773,8.4629
198,-4.3752,6.5112,3.6755,11.0075,8.4799
199,-4.4398,6.4730,3.6883,11.0372,8.4961
200,-4.5039,6.4340,3.7031,11.0665,8.5119
201,-4.5673,6.3941,3.7182,11.0951,8.5273
202,-4.6302,6.3532,3.7290,11.1231,8.5423
203,-4.6926,6.3117,3.7410,11.1509,8.5568
204,-4.7546,6.2693,3.7513,11.1782,8.5712
205,-4.8161,6.2264,3.7589,11.2052,8.5852
206,-4.8772,6.1830,3.7670,11.2322,8.5992
207,-4.9380,6.1391,3.7740,11.2590,8.6132
208,-4.9985,6.0947,3.7796,11.2857,8.6271
209,-5.0588,6.0501,3.7902,11.3125,8.6412
210,-5.1185,6.0048,3.8017,11.3390,8.6555
211,-5.1778,5.9588,3.8140,11.3651,8.6697
212,-5.2364,5.9121,3.8278,11.3908,8.6836
213,-5.2945,5.8645,3.8463,11.4160,8.6972
214,-5.3516,5.8160,3.8620,11.4403,8.7104
215,-5.4080,5.7665,3.8812,11.4639,8.7228
216,-5.4634,5.7159,3.9015,11.4865,8.7347
217,-5.5177,5.6643,3.9208,11.5082,8.7458
218,-5.5711,5.6116,3.9378,11.5290,8.7560
219,-5.6236,5.5580,3.9560,11.5489,8.7654
220,-5.6750,5.5034,3.9714,11.5680,8.7741
221,-5.7257,5.4481,3.9891,11.5864,8.7821
222,-5.7753,5.3918,4.0056,11.6040,8.7895
223,-5.8240,5.3348,4.0204,11.6209,8.7963
224,-5.8719,5.2771,4.0367,11.6371,8.8025
225,-5.9188,5.2185,4.0530,11.6526,8.8081
226,-5.9647,5.1593,4.0725,11.6674,8.8132
227,-6.0095,5.0991,4.0940,11.6812,8.8176
228,-6.0530,5.0380,4.1131,11.6939,8.8213
229,-6.0953,4.9761,4.1293,11.7056,8.8239
230,-6.1366,4.9135,4.1448,11.7166,8.8258
231,-6.1769,4.8502,4.1598,11.7269,8.8270
232,-6.2163,4.7864,4.1755,11.7366,8.8277
233,-6.2546,4.7219,4.1900,11.7456,8.8279
234,-6.2920,4.6569,4.2070,11.7539,8.8275
235,-6.3283,4.5913,4.2230,11.7615,8.8267
236,-6.3636,4.5251,4.2381,11.7684,8.8252
237,-6.3979,4.4584,4.2549,11.7746,8.8232
238,-6.4310,4.3911,4.2741,11.7800,8.8206
239,-6.4628,4.3232,4.2913,11.7845,8.8174
240,-6.4935,4.2547,4.3088,11.7881,8.8134
241,-6.5229,4.1858,4.3243,11.7909,8.8087
242,-6.5513,4.1163,4.3389,11.7930,8.8034
243,-6.5787,4.0465,4.3542,11.7945,8.7975
244,-6.6050,3.9763,4.3710,11.7954,8.7911
245,-6.6301,3.9056,4.3844,11.7954,8.7842
246,-6.6542,3.8346,4.3963,11.7950,8.7767
247,-6.6776,3.7633,4.4068,11.7941,8.7688
248,-6.7001,3.6918,4.4181,11.7929,8.7606
249,-6.7219,3.6200,4.4319,11.7913,8.7523
250,-6.7426,3.5480,4.4442,11.7892,8.7437
251,-6.7625,3.4756,4.4549,11.7866,8.7347
252,-6.7816,3.4031,4.4666,11.7837,8.7255
253,-6.7999,3.3304,4.4816,11.7804,8.7160
254,-6.8170,3.2573,4.4927,11.7765,8.7063
255,-6.8334,3.1842,4.5057,11.7722,8.6962
256,-6.8487,3.1107,4.5178,11.7674,8.6858
257,-6.8632,3.0372,4.5271,11.7621,8.6750
258,-6.8771,2.9634,4.5370,11.7567,8.6640
259,-6.8901,2.8896,4.5459,11.7510,8.6529
260,-6.9026,2.8156,4.5577,11.7451,8.6417
261,-6.9141,2.7415,4.5740,11.7388,8.6305
262,-6.9245,2.6672,4.5927,11.7317,8.6190
263,-6.9334,2.5928,4.6108,11.7237,8.6070
264,-6.9410,2.5182,4.6259,11.7149,8.5941
265,-6.9475,2.4434,4.6405,11.7054,8.5806
266,-6.9529,2.3686,4.6547,11.6953,8.5666
267,-6.9572,2.2938,4.6709,11.6846,8.5521
268,-6.9603,2.2188,4.6875,11.6732,8.5371
269,-6.9622,2.1439,4.7028,11.6610,8.5216
270,-6.9629,2.0689,4.7172,11.6481,8.5055
271,-6.9626,1.9939,4.7342,11.6347,8.4889
272,-6.9609,1.9189,4.7488,11.6205,8.4719
273,-6.9582,1.8439,4.7675,11.6056,8.4542
274,-6.9541,1.7690,4.7865,11.5899,8.4361
275,-6.9485,1.6942,4.8080,11.5732,8.4173
276,-6.9414,1.6196,4.8283,11.5554,8.3976
277,-6.9327,1.5451,4.8463,11.5366,8.3771
278,-6.9227,1.4708,4.8679,11.5170,8.3556
279,-6.9111,1.3967,4.8932,11.4962,8.3335
280,-6.8976,1.3229,4.9172,11.4741,8.3104
281,-6.8823,1.2495,4.9425,11.4507,8.2862
282,-6.8652,1.1764,4.9655,11.4259,8.2608
283,-6.8464,1.1038,4.9842,11.4000,8.2342
284,-6.8263,1.0316,4.9998,11.3732,8.2066
285,-6.8050,0.9597,5.0140,11.3457,8.1783
286,-6.7828,0.8880,5.0280,11.3177,8.1494
287,-6.7595,0.8167,5.0445,11.2891,8.1202
288,-6.7350,0.7458,5.0590,11.2598,8.0905
289,-6.7095,0.6753,5.0784,11.2299,8.0603
290,-6.6827,0.6053,5.0955,11.1991,8.0297
291,-6.6547,0.5357,5.1112,11.1675,7.9983
292,-6.6255,0.4666,5.1242,11.1353,7.9663
293,-6.5955,0.3979,5.1383,11.1027,7.9338
294,-6.5645,0.3296,5.1546,11.0694,7.9010
295,-6.5324,0.2618,5.1713,11.0356,7.8678
296,-6.4992,0.1945,5.1885,11.0009,7.8341
297,-6.4649,0.1279,5.2074,10.9656,7.7998
298,-6.4292,0.0619,5.2300,10.9294,7.7649
299,-6.3921,-0.0033,5.2594,10.8921,7.7293
