step,raw_vx,raw_wz,safe_vx,safe_wz,intervened,inference_ms,cbf_ms
0,0.3000,-0.0663,0.0900,-0.0199,0,15.23,0.04
1,0.3000,0.0065,0.1530,-0.0120,0,21.90,0.04
2,0.3000,0.0373,0.1971,0.0028,0,191.91,0.05
3,0.3000,0.0947,0.2280,0.0304,0,17.41,0.04
4,0.3000,0.1411,0.2496,0.0636,0,49.08,0.04
5,0.3000,0.0495,0.2647,0.0594,0,1068.75,0.05
6,0.3000,0.0744,0.2753,0.0639,0,2260.69,0.05
7,0.3000,0.0450,0.2827,0.0582,0,559.53,0.05
8,0.3000,0.1065,0.2879,0.0727,0,85.84,0.05
9,0.3000,0.0806,0.2915,0.0751,0,13.24,0.04
10,0.3000,0.1154,0.2941,0.0872,0,29.81,0.04
11,0.3000,0.0326,0.2958,0.0708,0,92.77,0.05
12,0.3000,0.0671,0.2971,0.0697,0,416.01,0.05
13,0.3000,0.0134,0.2980,0.0528,0,2281.77,0.06
14,0.3000,0.0083,0.2986,0.0394,0,1880.74,0.05
15,0.3000,0.0324,0.2990,0.0373,0,78.71,0.05
16,0.3000,0.0576,0.2993,0.0434,0,2292.48,0.05
17,0.3000,0.0642,0.2995,0.0496,0,1685.01,0.04
18,0.3000,0.0260,0.2997,0.0425,0,14.62,0.04
19,0.3000,0.1604,0.2998,0.0779,0,103.17,0.06
20,0.3000,0.0470,0.2998,0.0686,0,32.11,0.06
21,0.3000,0.0933,0.2999,0.0761,0,1577.53,0.06
22,0.3000,0.1091,0.2999,0.0860,0,1946.37,0.06
23,0.3000,0.0699,0.2999,0.0811,0,35.29,0.06
24,0.3000,0.0736,0.3000,0.0789,0,131.13,0.06
25,0.3000,0.0972,0.3000,0.0844,0,656.66,0.06
26,0.3000,0.0475,0.3000,0.0733,0,2269.64,0.06
27,0.3000,0.0620,0.3000,0.0699,0,1103.34,0.06
28,0.3000,0.0054,0.3000,0.0506,0,122.91,0.06
29,0.3000,0.0402,0.3000,0.0475,0,52.49,0.06
30,0.3000,0.0884,0.3000,0.0597,0,1542.61,0.06
31,0.3000,0.1181,0.3000,0.0772,0,2281.62,0.06
32,0.3000,0.0981,0.3000,0.0835,0,570.20,0.06
33,0.3000,0.0768,0.3000,0.0815,0,1416.99,0.06
34,0.3000,0.0884,0.3000,0.0835,0,2311.63,0.06
35,0.3000,0.1115,0.3000,0.0919,0,2318.61,0.06
36,0.3000,0.0761,0.3000,0.0872,0,2308.61,0.06
37,0.3000,0.0991,0.3000,0.0908,0,1106.61,0.06
38,0.3000,0.0314,0.3000,0.0730,0,2249.60,0.06
39,0.3000,0.0950,0.3000,0.0796,0,1407.63,0.06
40,0.3000,0.0523,0.3000,0.0714,0,148.16,0.06
41,0.3000,0.0558,0.3000,0.0667,0,641.09,0.06
42,0.3000,0.0863,0.3000,0.0726,0,2129.55,0.04
