pair_id,goal_id,baseline_min_d2g,baseline_final_d2g,baseline_overshoot_past_min,auth_stop_triggered,auth_true_d2g_at_stop,auth_final_d2g,auth_residual_after_stop_m,final_d2g_delta_auth_minus_baseline,early_stop_short_of_nearest_m
F,hospital_fresh_short_F,0.0013,0.9884,0.9871,True,1.0559,1.0532,0.00297,0.0648,1.0546
G,hospital_fresh_medium_G,0.0007,0.4857,0.485,True,1.4488,1.4466,0.00274,0.9609,1.4481
