episode_id,stop_fired,stop_step,n_steps,final_dist_m,success,oracle_success,path_length_m,p_stop_mean,p_stop_max
kujiale_0092_kujiale_0092_91_1,True,35,37,4.0803,False,False,6.2944,0.2875,0.9367
kujiale_0092_kujiale_0092_9_2,True,4,6,7.9047,False,False,1.0661,0.2123,0.8569
kujiale_0118_kujiale_0118_25_3,True,27,29,4.7758,False,False,4.2114,0.4482,0.8140
kujiale_0118_kujiale_0118_31_0,True,10,12,6.2942,False,False,1.8536,0.4031,0.7191
kujiale_0118_kujiale_0118_40_4,True,22,24,10.0298,False,False,4.0390,0.3408,0.7154
kujiale_0203_kujiale_0203_15_3,True,0,2,5.4952,False,False,0.1310,0.7780,0.7780
kujiale_0203_kujiale_0203_16_3,True,2,4,5.4902,False,False,0.3678,0.5369,0.7942
kujiale_0203_kujiale_0203_22_4,True,9,11,5.7750,False,False,0.7075,0.4072,0.7486
kujiale_0203_kujiale_0203_25_0,True,12,14,1.4554,True,True,1.9884,0.4298,0.7195
kujiale_0203_kujiale_0203_32_2,True,30,32,2.3480,True,True,3.3152,0.3912,0.7779
kujiale_0203_kujiale_0203_43_1,True,4,6,5.9303,False,False,0.4784,0.4462,0.7173
kujiale_0203_kujiale_0203_49_3,True,18,20,3.9869,False,False,2.7051,0.4143,0.8784
kujiale_0271_kujiale_0271_15_1,True,27,29,1.7423,True,True,6.1298,0.3735,0.7534
kujiale_0271_kujiale_0271_24_4,True,4,6,8.3824,False,False,1.0744,0.5584,0.7225
kujiale_0271_kujiale_0271_7_3,True,0,2,2.2671,True,True,0.1360,0.7229,0.7229
