episode,family,inc_aligned_SR,cand_aligned_SR,cand_aligned_NE,inc_placeholder_SR,cand_placeholder_SR,cand_placeholder_NE
h7r_turn_02,turn_t_junction,0,1,2.61,0,1,2.37
h7r_waiting_02,waiting_to_doorway,0,1,2.47,0,1,1.81
