episode_id,step_idx,sim_time,wall_time,robot_position_x,robot_position_y,robot_position_z,robot_yaw,linear_velocity_cmd,angular_velocity_cmd,odom_linear_velocity,odom_angular_velocity,camera_frame_id,image_timestamp,policy_mode,stop_signal,safety_state,notes,shadow_gnm_enabled,shadow_gnm_status,shadow_gnm_model_path,shadow_gnm_latency_ms,shadow_gnm_candidate_linear_velocity,shadow_gnm_candidate_angular_velocity,shadow_gnm_candidate_waypoint_x,shadow_gnm_candidate_waypoint_y,shadow_gnm_goal_distance,shadow_gnm_confidence,shadow_gnm_error,actual_controller,actual_linear_velocity_cmd,actual_angular_velocity_cmd,gnm_control_enabled,gnm_action_raw_linear_velocity,gnm_action_raw_angular_velocity,gnm_action_clipped_linear_velocity,gnm_action_clipped_angular_velocity,action_clipped,watchdog_state,emergency_stop_triggered,stop_reason
gnm_closed_loop_20260708_031730,319,18.533334,1783477056.316025,2.250573,-0.001399,-0.0,-0.001914,0.2,-0.066666,0.199835,0.004926,camera_link,18.533334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.28,0.3,-0.0667,0.631,-0.0421,16.48,,,gnm_closed_loop,0.2,-0.066666,True,0.3,-0.066666,0.2,-0.066666,True,armed,False,
gnm_closed_loop_20260708_031730,320,18.550001,1783477056.319066,2.253896,-0.001406,-0.0,-0.001921,0.2,-0.066666,0.199835,0.004926,camera_link,18.550001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.28,0.3,-0.0667,0.631,-0.0421,16.48,,,gnm_closed_loop,0.2,-0.066666,True,0.3,-0.066666,0.2,-0.066666,True,armed,False,
gnm_closed_loop_20260708_031730,321,18.566668,1783477056.34463,2.25722,-0.001412,-0.0,-0.001927,0.2,-0.066257,0.199834,0.005406,camera_link,18.566668,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.04,0.3,-0.0663,0.6312,-0.0419,16.47,,,gnm_closed_loop,0.2,-0.066257,True,0.3,-0.066257,0.2,-0.066257,True,armed,False,
gnm_closed_loop_20260708_031730,322,18.583334,1783477056.34714,2.260543,-0.001418,-0.0,-0.001934,0.2,-0.066257,0.199834,0.005406,camera_link,18.583334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.04,0.3,-0.0663,0.6312,-0.0419,16.47,,,gnm_closed_loop,0.2,-0.066257,True,0.3,-0.066257,0.2,-0.066257,True,armed,False,
gnm_closed_loop_20260708_031730,323,18.600001,1783477056.348806,2.263866,-0.001424,-0.0,-0.00194,0.2,-0.066257,0.199834,0.005406,camera_link,18.600001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.04,0.3,-0.0663,0.6312,-0.0419,16.47,,,gnm_closed_loop,0.2,-0.066257,True,0.3,-0.066257,0.2,-0.066257,True,armed,False,
gnm_closed_loop_20260708_031730,324,18.616668,1783477056.377487,2.26719,-0.001431,-0.0,-0.001946,0.2,-0.066399,0.199825,0.005067,camera_link,18.616668,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,15.51,0.3,-0.0664,0.6313,-0.042,16.48,,,gnm_closed_loop,0.2,-0.066399,True,0.3,-0.066399,0.2,-0.066399,True,armed,False,
gnm_closed_loop_20260708_031730,325,18.633334,1783477056.380939,2.270513,-0.001437,-0.0,-0.001953,0.2,-0.066399,0.199825,0.005067,camera_link,18.633334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,15.51,0.3,-0.0664,0.6313,-0.042,16.48,,,gnm_closed_loop,0.2,-0.066399,True,0.3,-0.066399,0.2,-0.066399,True,armed,False,
gnm_closed_loop_20260708_031730,326,18.650001,1783477056.382745,2.273836,-0.001443,-0.0,-0.001959,0.2,-0.066399,0.199825,0.005067,camera_link,18.650001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,15.51,0.3,-0.0664,0.6313,-0.042,16.48,,,gnm_closed_loop,0.2,-0.066399,True,0.3,-0.066399,0.2,-0.066399,True,armed,False,
gnm_closed_loop_20260708_031730,327,18.666668,1783477056.406222,2.277159,-0.00145,-0.0,-0.001966,0.2,-0.066471,0.19983,0.005307,camera_link,18.666668,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.78,0.3,-0.0665,0.6319,-0.0421,16.48,,,gnm_closed_loop,0.2,-0.066471,True,0.3,-0.066471,0.2,-0.066471,True,armed,False,
gnm_closed_loop_20260708_031730,328,18.683334,1783477056.408647,2.280482,-0.001456,-0.0,-0.001973,0.2,-0.066471,0.19983,0.005307,camera_link,18.683334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.78,0.3,-0.0665,0.6319,-0.0421,16.48,,,gnm_closed_loop,0.2,-0.066471,True,0.3,-0.066471,0.2,-0.066471,True,armed,False,
gnm_closed_loop_20260708_031730,329,18.700001,1783477056.411395,2.283805,-0.001463,-0.0,-0.001979,0.2,-0.066471,0.19983,0.005307,camera_link,18.700001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.78,0.3,-0.0665,0.6319,-0.0421,16.48,,,gnm_closed_loop,0.2,-0.066471,True,0.3,-0.066471,0.2,-0.066471,True,armed,False,
gnm_closed_loop_20260708_031730,330,18.716668,1783477056.435961,2.287129,-0.001469,-0.0,-0.001985,0.2,-0.066295,0.199835,0.005353,camera_link,18.716668,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.21,0.3,-0.0663,0.6324,-0.042,16.47,,,gnm_closed_loop,0.2,-0.066295,True,0.3,-0.066295,0.2,-0.066295,True,armed,False,
gnm_closed_loop_20260708_031730,331,18.733334,1783477056.438897,2.290452,-0.001475,-0.0,-0.001992,0.2,-0.066295,0.199835,0.005353,camera_link,18.733334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.21,0.3,-0.0663,0.6324,-0.042,16.47,,,gnm_closed_loop,0.2,-0.066295,True,0.3,-0.066295,0.2,-0.066295,True,armed,False,
gnm_closed_loop_20260708_031730,332,18.750001,1783477056.441726,2.293776,-0.001482,-0.0,-0.001998,0.2,-0.066295,0.199835,0.005353,camera_link,18.750001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.21,0.3,-0.0663,0.6324,-0.042,16.47,,,gnm_closed_loop,0.2,-0.066295,True,0.3,-0.066295,0.2,-0.066295,True,armed,False,
gnm_closed_loop_20260708_031730,333,18.766668,1783477056.465018,2.297099,-0.001488,-0.0,-0.002004,0.2,-0.066444,0.199834,0.005296,camera_link,18.766668,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,11.79,0.3,-0.0664,0.632,-0.0421,16.47,,,gnm_closed_loop,0.2,-0.066444,True,0.3,-0.066444,0.2,-0.066444,True,armed,False,
gnm_closed_loop_20260708_031730,334,18.783334,1783477056.467075,2.300422,-0.001495,-0.0,-0.002011,0.2,-0.066444,0.199834,0.005296,camera_link,18.783334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,11.79,0.3,-0.0664,0.632,-0.0421,16.47,,,gnm_closed_loop,0.2,-0.066444,True,0.3,-0.066444,0.2,-0.066444,True,armed,False,
gnm_closed_loop_20260708_031730,335,18.800001,1783477056.46876,2.303746,-0.001501,-0.0,-0.002016,0.2,-0.066444,0.199834,0.005296,camera_link,18.800001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,11.79,0.3,-0.0664,0.632,-0.0421,16.47,,,gnm_closed_loop,0.2,-0.066444,True,0.3,-0.066444,0.2,-0.066444,True,armed,False,
gnm_closed_loop_20260708_031730,336,18.816668,1783477056.500861,2.30707,-0.001508,-0.0,-0.002023,0.2,-0.066243,0.199863,0.005101,camera_link,18.816668,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,19.37,0.3,-0.0662,0.6323,-0.0419,16.47,,,gnm_closed_loop,0.2,-0.066243,True,0.3,-0.066243,0.2,-0.066243,True,armed,False,
gnm_closed_loop_20260708_031730,337,18.833334,1783477056.504441,2.310394,-0.001515,-0.0,-0.00203,0.2,-0.066243,0.199863,0.005101,camera_link,18.833334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,19.37,0.3,-0.0662,0.6323,-0.0419,16.47,,,gnm_closed_loop,0.2,-0.066243,True,0.3,-0.066243,0.2,-0.066243,True,armed,False,
gnm_closed_loop_20260708_031730,338,18.850001,1783477056.507386,2.313718,-0.001521,-0.0,-0.002036,0.2,-0.066243,0.199863,0.005101,camera_link,18.850001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,19.37,0.3,-0.0662,0.6323,-0.0419,16.47,,,gnm_closed_loop,0.2,-0.066243,True,0.3,-0.066243,0.2,-0.066243,True,armed,False,
gnm_closed_loop_20260708_031730,339,18.866668,1783477056.535604,2.317041,-0.001528,-0.0,-0.002042,0.2,-0.066532,0.199836,0.005032,camera_link,18.866668,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,14.32,0.3,-0.0665,0.6321,-0.0421,16.47,,,gnm_closed_loop,0.2,-0.066532,True,0.3,-0.066532,0.2,-0.066532,True,armed,False,
