metric,view_i,split_i,view_j,split_j,pair_class,similarity
ahash,h8m_recep_junction__goalB,test,h8m_recep_desk_multiobj__goalA,train,cross_split,0.1719
ssim,h8m_recep_junction__goalB,test,h8m_recep_desk_multiobj__goalA,train,cross_split,0.2841
dino_cosine,h8m_recep_junction__goalB,test,h8m_recep_desk_multiobj__goalB,train,cross_split,0.3804
ahash,h8m_recep_junction__goalB,test,h8m_recep_desk_multiobj__goalB,train,cross_split,0.3477
ssim,h8m_recep_junction__goalB,test,h8m_recep_desk_multiobj__goalB,train,cross_split,0.3242
dino_cosine,h8m_recep_junction__goalB,test,h8m_side_corridor__goalA,val,cross_split,0.4043
ahash,h8m_recep_junction__goalB,test,h8m_side_corridor__goalA,val,cross_split,0.6484
ssim,h8m_recep_junction__goalB,test,h8m_side_corridor__goalA,val,cross_split,0.6214
dino_cosine,h8m_recep_junction__goalB,test,h8m_side_corridor__goalB,val,cross_split,0.5126
ahash,h8m_recep_junction__goalB,test,h8m_side_corridor__goalB,val,cross_split,0.4609
ssim,h8m_recep_junction__goalB,test,h8m_side_corridor__goalB,val,cross_split,0.4119
dino_cosine,h8m_recep_junction__goalB,test,h8m_waiting_seating__goalA,train,cross_split,0.3507
ahash,h8m_recep_junction__goalB,test,h8m_waiting_seating__goalA,train,cross_split,0.3281
ssim,h8m_recep_junction__goalB,test,h8m_waiting_seating__goalA,train,cross_split,0.3523
dino_cosine,h8m_recep_junction__goalB,test,h8m_waiting_seating__goalB,train,cross_split,0.4523
ahash,h8m_recep_junction__goalB,test,h8m_waiting_seating__goalB,train,cross_split,0.3555
ssim,h8m_recep_junction__goalB,test,h8m_waiting_seating__goalB,train,cross_split,0.3789
dino_cosine,h8m_recep_junction__goalB,test,h8m_lobby_vending_nearfar__goalA,train,cross_split,0.4456
ahash,h8m_recep_junction__goalB,test,h8m_lobby_vending_nearfar__goalA,train,cross_split,0.2969
ssim,h8m_recep_junction__goalB,test,h8m_lobby_vending_nearfar__goalA,train,cross_split,0.3323
dino_cosine,h8m_recep_junction__goalB,test,h8m_lobby_vending_nearfar__goalB,train,cross_split,0.3901
ahash,h8m_recep_junction__goalB,test,h8m_lobby_vending_nearfar__goalB,train,cross_split,0.3086
ssim,h8m_recep_junction__goalB,test,h8m_lobby_vending_nearfar__goalB,train,cross_split,0.3253
dino_cosine,h8m_recep_junction__goalB,test,h8m_east_vending_nearfar__goalA,val,cross_split,0.3709
ahash,h8m_recep_junction__goalB,test,h8m_east_vending_nearfar__goalA,val,cross_split,0.3281
ssim,h8m_recep_junction__goalB,test,h8m_east_vending_nearfar__goalA,val,cross_split,0.3449
dino_cosine,h8m_recep_junction__goalB,test,h8m_east_vending_nearfar__goalB,val,cross_split,0.4126
ahash,h8m_recep_junction__goalB,test,h8m_east_vending_nearfar__goalB,val,cross_split,0.3203
ssim,h8m_recep_junction__goalB,test,h8m_east_vending_nearfar__goalB,val,cross_split,0.3538
dino_cosine,h8m_recep_junction__goalB,test,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.2871
ahash,h8m_recep_junction__goalB,test,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.3633
ssim,h8m_recep_junction__goalB,test,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.2817
dino_cosine,h8m_recep_junction__goalB,test,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.5144
ahash,h8m_recep_junction__goalB,test,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.6211
ssim,h8m_recep_junction__goalB,test,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.4961
dino_cosine,h8m_recep_junction__goalB,test,placeholder_h2_weave_J,hard_negative,cross_split,0.4891
ahash,h8m_recep_junction__goalB,test,placeholder_h2_weave_J,hard_negative,cross_split,0.6289
ssim,h8m_recep_junction__goalB,test,placeholder_h2_weave_J,hard_negative,cross_split,0.4218
dino_cosine,h8m_recep_fork__goalA,test,h8m_recep_fork__goalB,test,within_zone,0.6626
ahash,h8m_recep_fork__goalA,test,h8m_recep_fork__goalB,test,within_zone,0.5
ssim,h8m_recep_fork__goalA,test,h8m_recep_fork__goalB,test,within_zone,0.3576
dino_cosine,h8m_recep_fork__goalA,test,h8m_recep_desk_multiobj__goalA,train,cross_split,0.4798
ahash,h8m_recep_fork__goalA,test,h8m_recep_desk_multiobj__goalA,train,cross_split,0.4297
ssim,h8m_recep_fork__goalA,test,h8m_recep_desk_multiobj__goalA,train,cross_split,0.2026
dino_cosine,h8m_recep_fork__goalA,test,h8m_recep_desk_multiobj__goalB,train,cross_split,0.3277
ahash,h8m_recep_fork__goalA,test,h8m_recep_desk_multiobj__goalB,train,cross_split,0.4492
ssim,h8m_recep_fork__goalA,test,h8m_recep_desk_multiobj__goalB,train,cross_split,0.439
dino_cosine,h8m_recep_fork__goalA,test,h8m_side_corridor__goalA,val,cross_split,0.6879
ahash,h8m_recep_fork__goalA,test,h8m_side_corridor__goalA,val,cross_split,0.6172
ssim,h8m_recep_fork__goalA,test,h8m_side_corridor__goalA,val,cross_split,0.8014
dino_cosine,h8m_recep_fork__goalA,test,h8m_side_corridor__goalB,val,cross_split,0.4339
ahash,h8m_recep_fork__goalA,test,h8m_side_corridor__goalB,val,cross_split,0.3828
ssim,h8m_recep_fork__goalA,test,h8m_side_corridor__goalB,val,cross_split,0.5405
