metric,view_i,split_i,view_j,split_j,pair_class,similarity
ahash,h8m_side_corridor__goalA,val,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.418
ssim,h8m_side_corridor__goalA,val,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.6611
dino_cosine,h8m_side_corridor__goalA,val,placeholder_h2_weave_J,hard_negative,cross_split,0.4303
ahash,h8m_side_corridor__goalA,val,placeholder_h2_weave_J,hard_negative,cross_split,0.6602
ssim,h8m_side_corridor__goalA,val,placeholder_h2_weave_J,hard_negative,cross_split,0.4157
dino_cosine,h8m_side_corridor__goalB,val,h8m_waiting_seating__goalA,train,cross_split,0.5039
ahash,h8m_side_corridor__goalB,val,h8m_waiting_seating__goalA,train,cross_split,0.7266
ssim,h8m_side_corridor__goalB,val,h8m_waiting_seating__goalA,train,cross_split,0.5548
dino_cosine,h8m_side_corridor__goalB,val,h8m_waiting_seating__goalB,train,cross_split,0.5994
ahash,h8m_side_corridor__goalB,val,h8m_waiting_seating__goalB,train,cross_split,0.543
ssim,h8m_side_corridor__goalB,val,h8m_waiting_seating__goalB,train,cross_split,0.5933
dino_cosine,h8m_side_corridor__goalB,val,h8m_lobby_vending_nearfar__goalA,train,cross_split,0.8147
ahash,h8m_side_corridor__goalB,val,h8m_lobby_vending_nearfar__goalA,train,cross_split,0.6641
ssim,h8m_side_corridor__goalB,val,h8m_lobby_vending_nearfar__goalA,train,cross_split,0.5513
dino_cosine,h8m_side_corridor__goalB,val,h8m_lobby_vending_nearfar__goalB,train,cross_split,0.7358
ahash,h8m_side_corridor__goalB,val,h8m_lobby_vending_nearfar__goalB,train,cross_split,0.6758
ssim,h8m_side_corridor__goalB,val,h8m_lobby_vending_nearfar__goalB,train,cross_split,0.566
dino_cosine,h8m_side_corridor__goalB,val,h8m_east_vending_nearfar__goalA,val,within_split,0.7263
ahash,h8m_side_corridor__goalB,val,h8m_east_vending_nearfar__goalA,val,within_split,0.7344
ssim,h8m_side_corridor__goalB,val,h8m_east_vending_nearfar__goalA,val,within_split,0.6147
dino_cosine,h8m_side_corridor__goalB,val,h8m_east_vending_nearfar__goalB,val,within_split,0.7847
ahash,h8m_side_corridor__goalB,val,h8m_east_vending_nearfar__goalB,val,within_split,0.7266
ssim,h8m_side_corridor__goalB,val,h8m_east_vending_nearfar__goalB,val,within_split,0.6277
dino_cosine,h8m_side_corridor__goalB,val,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.4694
ahash,h8m_side_corridor__goalB,val,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.4805
ssim,h8m_side_corridor__goalB,val,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.4498
dino_cosine,h8m_side_corridor__goalB,val,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.6237
ahash,h8m_side_corridor__goalB,val,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.5039
ssim,h8m_side_corridor__goalB,val,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.6428
dino_cosine,h8m_side_corridor__goalB,val,placeholder_h2_weave_J,hard_negative,cross_split,0.6971
ahash,h8m_side_corridor__goalB,val,placeholder_h2_weave_J,hard_negative,cross_split,0.3164
ssim,h8m_side_corridor__goalB,val,placeholder_h2_weave_J,hard_negative,cross_split,0.2711
dino_cosine,h8m_waiting_seating__goalA,train,h8m_waiting_seating__goalB,train,within_zone,0.7749
ahash,h8m_waiting_seating__goalA,train,h8m_waiting_seating__goalB,train,within_zone,0.6914
ssim,h8m_waiting_seating__goalA,train,h8m_waiting_seating__goalB,train,within_zone,0.5936
dino_cosine,h8m_waiting_seating__goalA,train,h8m_lobby_vending_nearfar__goalA,train,within_split,0.5415
ahash,h8m_waiting_seating__goalA,train,h8m_lobby_vending_nearfar__goalA,train,within_split,0.8281
ssim,h8m_waiting_seating__goalA,train,h8m_lobby_vending_nearfar__goalA,train,within_split,0.5165
dino_cosine,h8m_waiting_seating__goalA,train,h8m_lobby_vending_nearfar__goalB,train,within_split,0.5144
ahash,h8m_waiting_seating__goalA,train,h8m_lobby_vending_nearfar__goalB,train,within_split,0.8086
ssim,h8m_waiting_seating__goalA,train,h8m_lobby_vending_nearfar__goalB,train,within_split,0.511
dino_cosine,h8m_waiting_seating__goalA,train,h8m_east_vending_nearfar__goalA,val,cross_split,0.4705
ahash,h8m_waiting_seating__goalA,train,h8m_east_vending_nearfar__goalA,val,cross_split,0.8281
ssim,h8m_waiting_seating__goalA,train,h8m_east_vending_nearfar__goalA,val,cross_split,0.5251
dino_cosine,h8m_waiting_seating__goalA,train,h8m_east_vending_nearfar__goalB,val,cross_split,0.501
ahash,h8m_waiting_seating__goalA,train,h8m_east_vending_nearfar__goalB,val,cross_split,0.8047
ssim,h8m_waiting_seating__goalA,train,h8m_east_vending_nearfar__goalB,val,cross_split,0.5311
dino_cosine,h8m_waiting_seating__goalA,train,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.4026
ahash,h8m_waiting_seating__goalA,train,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.6758
ssim,h8m_waiting_seating__goalA,train,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.4816
dino_cosine,h8m_waiting_seating__goalA,train,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.3527
ahash,h8m_waiting_seating__goalA,train,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.3398
ssim,h8m_waiting_seating__goalA,train,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.5679
dino_cosine,h8m_waiting_seating__goalA,train,placeholder_h2_weave_J,hard_negative,cross_split,0.4024
ahash,h8m_waiting_seating__goalA,train,placeholder_h2_weave_J,hard_negative,cross_split,0.1836
ssim,h8m_waiting_seating__goalA,train,placeholder_h2_weave_J,hard_negative,cross_split,0.2392
dino_cosine,h8m_waiting_seating__goalB,train,h8m_lobby_vending_nearfar__goalA,train,within_split,0.6063
ahash,h8m_waiting_seating__goalB,train,h8m_lobby_vending_nearfar__goalA,train,within_split,0.6211
ssim,h8m_waiting_seating__goalB,train,h8m_lobby_vending_nearfar__goalA,train,within_split,0.604
dino_cosine,h8m_waiting_seating__goalB,train,h8m_lobby_vending_nearfar__goalB,train,within_split,0.4941
ahash,h8m_waiting_seating__goalB,train,h8m_lobby_vending_nearfar__goalB,train,within_split,0.6328
ssim,h8m_waiting_seating__goalB,train,h8m_lobby_vending_nearfar__goalB,train,within_split,0.5945
dino_cosine,h8m_waiting_seating__goalB,train,h8m_east_vending_nearfar__goalA,val,cross_split,0.458
ahash,h8m_waiting_seating__goalB,train,h8m_east_vending_nearfar__goalA,val,cross_split,0.6211
ssim,h8m_waiting_seating__goalB,train,h8m_east_vending_nearfar__goalA,val,cross_split,0.5885
dino_cosine,h8m_waiting_seating__goalB,train,h8m_east_vending_nearfar__goalB,val,cross_split,0.497
ahash,h8m_waiting_seating__goalB,train,h8m_east_vending_nearfar__goalB,val,cross_split,0.6211
ssim,h8m_waiting_seating__goalB,train,h8m_east_vending_nearfar__goalB,val,cross_split,0.5966
dino_cosine,h8m_waiting_seating__goalB,train,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.3912
ahash,h8m_waiting_seating__goalB,train,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.6406
ssim,h8m_waiting_seating__goalB,train,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.4696
dino_cosine,h8m_waiting_seating__goalB,train,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.5099
ahash,h8m_waiting_seating__goalB,train,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.5156
ssim,h8m_waiting_seating__goalB,train,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.6916
dino_cosine,h8m_waiting_seating__goalB,train,placeholder_h2_weave_J,hard_negative,cross_split,0.4656
ahash,h8m_waiting_seating__goalB,train,placeholder_h2_weave_J,hard_negative,cross_split,0.4219
ssim,h8m_waiting_seating__goalB,train,placeholder_h2_weave_J,hard_negative,cross_split,0.3199
dino_cosine,h8m_lobby_vending_nearfar__goalA,train,h8m_lobby_vending_nearfar__goalB,train,within_zone,0.8397
ahash,h8m_lobby_vending_nearfar__goalA,train,h8m_lobby_vending_nearfar__goalB,train,within_zone,0.9258
ssim,h8m_lobby_vending_nearfar__goalA,train,h8m_lobby_vending_nearfar__goalB,train,within_zone,0.7559
dino_cosine,h8m_lobby_vending_nearfar__goalA,train,h8m_east_vending_nearfar__goalA,val,cross_split,0.8021
ahash,h8m_lobby_vending_nearfar__goalA,train,h8m_east_vending_nearfar__goalA,val,cross_split,0.875
ssim,h8m_lobby_vending_nearfar__goalA,train,h8m_east_vending_nearfar__goalA,val,cross_split,0.6976
dino_cosine,h8m_lobby_vending_nearfar__goalA,train,h8m_east_vending_nearfar__goalB,val,cross_split,0.8218
ahash,h8m_lobby_vending_nearfar__goalA,train,h8m_east_vending_nearfar__goalB,val,cross_split,0.8594
ssim,h8m_lobby_vending_nearfar__goalA,train,h8m_east_vending_nearfar__goalB,val,cross_split,0.683
dino_cosine,h8m_lobby_vending_nearfar__goalA,train,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.5871
ahash,h8m_lobby_vending_nearfar__goalA,train,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.6992
ssim,h8m_lobby_vending_nearfar__goalA,train,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.4406
dino_cosine,h8m_lobby_vending_nearfar__goalA,train,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.5886
ahash,h8m_lobby_vending_nearfar__goalA,train,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.3086
ssim,h8m_lobby_vending_nearfar__goalA,train,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.6086
dino_cosine,h8m_lobby_vending_nearfar__goalA,train,placeholder_h2_weave_J,hard_negative,cross_split,0.6078
ahash,h8m_lobby_vending_nearfar__goalA,train,placeholder_h2_weave_J,hard_negative,cross_split,0.1367
ssim,h8m_lobby_vending_nearfar__goalA,train,placeholder_h2_weave_J,hard_negative,cross_split,0.31
dino_cosine,h8m_lobby_vending_nearfar__goalB,train,h8m_east_vending_nearfar__goalA,val,cross_split,0.914
ahash,h8m_lobby_vending_nearfar__goalB,train,h8m_east_vending_nearfar__goalA,val,cross_split,0.918
ssim,h8m_lobby_vending_nearfar__goalB,train,h8m_east_vending_nearfar__goalA,val,cross_split,0.7174
dino_cosine,h8m_lobby_vending_nearfar__goalB,train,h8m_east_vending_nearfar__goalB,val,cross_split,0.8818
ahash,h8m_lobby_vending_nearfar__goalB,train,h8m_east_vending_nearfar__goalB,val,cross_split,0.9023
ssim,h8m_lobby_vending_nearfar__goalB,train,h8m_east_vending_nearfar__goalB,val,cross_split,0.6984
dino_cosine,h8m_lobby_vending_nearfar__goalB,train,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.712
ahash,h8m_lobby_vending_nearfar__goalB,train,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.6719
ssim,h8m_lobby_vending_nearfar__goalB,train,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.4349
dino_cosine,h8m_lobby_vending_nearfar__goalB,train,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.5105
ahash,h8m_lobby_vending_nearfar__goalB,train,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.3516
ssim,h8m_lobby_vending_nearfar__goalB,train,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.5945
dino_cosine,h8m_lobby_vending_nearfar__goalB,train,placeholder_h2_weave_J,hard_negative,cross_split,0.5531
ahash,h8m_lobby_vending_nearfar__goalB,train,placeholder_h2_weave_J,hard_negative,cross_split,0.1484
ssim,h8m_lobby_vending_nearfar__goalB,train,placeholder_h2_weave_J,hard_negative,cross_split,0.3067
dino_cosine,h8m_east_vending_nearfar__goalA,val,h8m_east_vending_nearfar__goalB,val,within_zone,0.9092
ahash,h8m_east_vending_nearfar__goalA,val,h8m_east_vending_nearfar__goalB,val,within_zone,0.9453
ssim,h8m_east_vending_nearfar__goalA,val,h8m_east_vending_nearfar__goalB,val,within_zone,0.7803
dino_cosine,h8m_east_vending_nearfar__goalA,val,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.6867
ahash,h8m_east_vending_nearfar__goalA,val,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.6523
ssim,h8m_east_vending_nearfar__goalA,val,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.4386
dino_cosine,h8m_east_vending_nearfar__goalA,val,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.4745
ahash,h8m_east_vending_nearfar__goalA,val,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.3477
ssim,h8m_east_vending_nearfar__goalA,val,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.6005
dino_cosine,h8m_east_vending_nearfar__goalA,val,placeholder_h2_weave_J,hard_negative,cross_split,0.5335
ahash,h8m_east_vending_nearfar__goalA,val,placeholder_h2_weave_J,hard_negative,cross_split,0.1602
ssim,h8m_east_vending_nearfar__goalA,val,placeholder_h2_weave_J,hard_negative,cross_split,0.299
dino_cosine,h8m_east_vending_nearfar__goalB,val,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.6691
ahash,h8m_east_vending_nearfar__goalB,val,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.6289
ssim,h8m_east_vending_nearfar__goalB,val,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.4433
dino_cosine,h8m_east_vending_nearfar__goalB,val,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.5155
ahash,h8m_east_vending_nearfar__goalB,val,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.3633
ssim,h8m_east_vending_nearfar__goalB,val,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.6157
dino_cosine,h8m_east_vending_nearfar__goalB,val,placeholder_h2_weave_J,hard_negative,cross_split,0.5416
ahash,h8m_east_vending_nearfar__goalB,val,placeholder_h2_weave_J,hard_negative,cross_split,0.1758
ssim,h8m_east_vending_nearfar__goalB,val,placeholder_h2_weave_J,hard_negative,cross_split,0.3059
dino_cosine,h8m_lookalike_confuser__goalA,hard_negative,h8m_lookalike_confuser__goalB,hard_negative,within_zone,0.365
ahash,h8m_lookalike_confuser__goalA,hard_negative,h8m_lookalike_confuser__goalB,hard_negative,within_zone,0.3906
ssim,h8m_lookalike_confuser__goalA,hard_negative,h8m_lookalike_confuser__goalB,hard_negative,within_zone,0.4506
dino_cosine,h8m_lookalike_confuser__goalA,hard_negative,placeholder_h2_weave_J,hard_negative,within_split,0.355
ahash,h8m_lookalike_confuser__goalA,hard_negative,placeholder_h2_weave_J,hard_negative,within_split,0.3438
ssim,h8m_lookalike_confuser__goalA,hard_negative,placeholder_h2_weave_J,hard_negative,within_split,0.2204
dino_cosine,h8m_lookalike_confuser__goalB,hard_negative,placeholder_h2_weave_J,hard_negative,within_split,0.7338
ahash,h8m_lookalike_confuser__goalB,hard_negative,placeholder_h2_weave_J,hard_negative,within_split,0.6797
ssim,h8m_lookalike_confuser__goalB,hard_negative,placeholder_h2_weave_J,hard_negative,within_split,0.4063
