episode_id,stop_fired,stop_step,n_steps,final_dist_m,success,oracle_success,path_length_m,p_stop_mean,p_stop_max
kujiale_0092_kujiale_0092_91_1,True,40,42,4.0427,False,False,6.6219,0.1672,0.9928
kujiale_0092_kujiale_0092_9_2,True,37,39,2.8178,True,True,6.9823,0.1929,0.9957
kujiale_0118_kujiale_0118_25_3,True,4,6,3.5076,False,False,0.9216,0.2543,0.3306
kujiale_0118_kujiale_0118_31_0,True,22,24,4.8437,False,False,3.7156,0.2291,0.9693
kujiale_0118_kujiale_0118_40_4,True,34,36,10.3348,False,False,5.5340,0.1299,0.7711
kujiale_0203_kujiale_0203_15_3,True,17,19,4.8425,False,False,2.6080,0.2433,0.9196
kujiale_0203_kujiale_0203_16_3,True,6,8,5.9191,False,False,0.8504,0.3269,0.9062
kujiale_0203_kujiale_0203_22_4,True,13,15,5.7253,False,False,1.1184,0.1400,0.5400
kujiale_0203_kujiale_0203_25_0,True,4,6,2.1333,True,True,0.7729,0.4232,0.6699
kujiale_0203_kujiale_0203_32_2,True,16,18,1.7353,True,True,1.7373,0.0971,0.3559
kujiale_0203_kujiale_0203_43_1,True,13,15,4.9698,False,False,1.4909,0.4477,0.9997
kujiale_0203_kujiale_0203_49_3,True,4,6,5.7765,False,False,0.7926,0.5758,0.7947
kujiale_0271_kujiale_0271_15_1,True,41,43,2.8023,True,True,8.7230,0.1091,0.9959
kujiale_0271_kujiale_0271_24_4,True,51,53,6.7024,False,False,8.6506,0.1428,0.9974
kujiale_0271_kujiale_0271_7_3,True,4,6,2.6836,True,True,0.7339,0.6194,0.7127
