prob_threshold,stable_k,policy,episodes,SR_percent,OSR_percent,NE_m,TL_m,stop_fired,mean_stop_step
0.10,1,temporal_neural_stop_head,15,20.0,20.0,5.93,0.34,15,0.9
0.20,1,temporal_neural_stop_head,15,20.0,20.0,5.85,0.45,15,1.5
0.30,1,temporal_neural_stop_head,15,20.0,20.0,5.85,0.50,15,1.8
0.40,1,temporal_neural_stop_head,15,20.0,20.0,5.65,0.97,15,5.3
0.50,1,temporal_neural_stop_head,15,26.7,26.7,5.15,1.82,15,9.9
0.60,1,temporal_neural_stop_head,15,26.7,26.7,5.12,2.08,15,12.2
0.70,1,temporal_neural_stop_head,15,26.7,26.7,5.09,2.17,15,12.7
0.80,1,temporal_neural_stop_head,15,26.7,26.7,4.44,3.97,14,23.5
0.90,1,temporal_neural_stop_head,15,33.3,33.3,4.92,5.39,10,25.4
