episode_id,stop_fired,stop_step,n_steps,final_dist_m,success,oracle_success,path_length_m,p_stop_mean,p_stop_max
kujiale_0092_kujiale_0092_91_1,True,35,37,4.0803,False,False,6.2944,0.1374,0.9729
kujiale_0092_kujiale_0092_9_2,True,30,32,3.8314,False,False,5.5601,0.2209,0.9051
kujiale_0118_kujiale_0118_25_3,True,18,20,4.1116,False,False,3.1090,0.4851,0.9550
kujiale_0118_kujiale_0118_31_0,False,,51,3.5157,False,False,7.7967,0.3128,0.8000
kujiale_0118_kujiale_0118_40_4,False,,69,12.5761,False,False,10.3886,0.3080,0.8908
kujiale_0203_kujiale_0203_15_3,False,,41,5.6400,False,False,5.5887,0.2823,0.8736
kujiale_0203_kujiale_0203_16_3,True,43,45,10.9820,False,False,6.2008,0.4287,0.9345
kujiale_0203_kujiale_0203_22_4,True,44,46,6.7136,False,False,5.1028,0.3878,0.9465
kujiale_0203_kujiale_0203_25_0,True,17,19,1.4555,True,True,2.7794,0.4788,0.9112
kujiale_0203_kujiale_0203_32_2,True,29,31,2.3143,True,True,3.2627,0.2683,0.9038
kujiale_0203_kujiale_0203_43_1,True,9,11,5.2991,False,False,1.1413,0.3800,0.9378
kujiale_0203_kujiale_0203_49_3,False,,63,1.9961,True,True,7.3228,0.4128,0.8595
kujiale_0271_kujiale_0271_15_1,True,27,29,1.7423,True,True,6.1298,0.2399,0.9237
kujiale_0271_kujiale_0271_24_4,False,,61,7.1226,False,False,9.7451,0.4190,0.8940
kujiale_0271_kujiale_0271_7_3,True,2,4,2.4406,True,True,0.3963,0.8412,0.9217
