prob_threshold,stable_k,policy,episodes,SR_percent,OSR_percent,NE_m,TL_m,stop_fired,mean_stop_step
0.10,3,temporal_neural_stop_head,15,26.7,26.7,5.06,1.84,15,10.2
0.20,3,temporal_neural_stop_head,15,26.7,26.7,4.84,2.60,15,15.7
0.30,3,temporal_neural_stop_head,15,26.7,26.7,4.72,2.83,15,17.0
0.40,3,temporal_neural_stop_head,15,20.0,26.7,4.75,3.45,15,21.0
0.50,3,temporal_neural_stop_head,15,13.3,26.7,5.23,4.28,14,24.5
0.60,3,temporal_neural_stop_head,15,6.7,26.7,5.11,4.95,13,28.0
0.70,3,temporal_neural_stop_head,15,13.3,40.0,5.98,6.91,7,32.1
0.80,3,temporal_neural_stop_head,15,13.3,40.0,6.28,7.62,4,36.2
0.90,3,temporal_neural_stop_head,15,13.3,40.0,6.54,8.03,1,34.0
