prob_threshold,stable_k,policy,episodes,SR_percent,OSR_percent,NE_m,TL_m,stop_fired,mean_stop_step
0.10,3,temporal_neural_stop_head,15,20.0,20.0,5.79,0.58,15,2.4
0.20,3,temporal_neural_stop_head,15,20.0,20.0,5.75,0.71,15,3.3
0.30,3,temporal_neural_stop_head,15,20.0,20.0,5.61,0.98,15,5.1
0.40,3,temporal_neural_stop_head,15,20.0,20.0,5.35,1.64,15,9.8
0.50,3,temporal_neural_stop_head,15,20.0,20.0,5.17,2.28,15,14.5
0.60,3,temporal_neural_stop_head,15,20.0,33.3,5.32,4.56,13,25.5
0.70,3,temporal_neural_stop_head,15,13.3,40.0,6.01,7.16,5,33.6
0.80,3,temporal_neural_stop_head,15,20.0,46.7,6.50,8.08,1,64.0
0.90,3,temporal_neural_stop_head,15,20.0,46.7,6.51,8.08,0,
