pair_id,goal_id,baseline_min_d2g,baseline_final_d2g,baseline_overshoot_past_min,auth_stop_triggered,auth_true_d2g_at_stop,auth_final_d2g,auth_residual_after_stop_m,final_d2g_delta_auth_minus_baseline,early_stop_short_of_nearest_m
D,hospital_holdout_short_D,0.0028,0.4852,0.4824,True,1.4794,1.4768,0.00276,0.9916,1.4766
E,hospital_holdout_medium_E,0.0036,0.4926,0.489,True,1.1029,1.1001,0.00297,0.6075,1.0993
