episode_id,step_idx,sim_time,wall_time,robot_position_x,robot_position_y,robot_position_z,robot_yaw,linear_velocity_cmd,angular_velocity_cmd,odom_linear_velocity,odom_angular_velocity,camera_frame_id,image_timestamp,policy_mode,stop_signal,safety_state,notes,shadow_gnm_enabled,shadow_gnm_status,shadow_gnm_model_path,shadow_gnm_latency_ms,shadow_gnm_candidate_linear_velocity,shadow_gnm_candidate_angular_velocity,shadow_gnm_candidate_waypoint_x,shadow_gnm_candidate_waypoint_y,shadow_gnm_goal_distance,shadow_gnm_confidence,shadow_gnm_error,actual_controller,actual_linear_velocity_cmd,actual_angular_velocity_cmd
manual_arc_20260708_030319,0,12.050001,1783476201.351686,1.194028,-0.000425,1e-06,2.2e-05,0.3,0.0,8.8e-05,-0.002289,camera_link,12.050001,manual_cmd_vel,,nominal,,True,warmup,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,,,,,,,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,1,12.066667,1783476201.353369,1.195414,-0.000427,0.0,-0.000143,0.3,0.0,8.8e-05,-0.002289,camera_link,12.066667,manual_cmd_vel,,nominal,,True,warmup,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,,,,,,,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,2,12.083334,1783476201.354657,1.198134,-0.000424,0.0,-0.000165,0.3,0.0,8.8e-05,-0.002289,camera_link,12.083334,manual_cmd_vel,,nominal,,True,warmup,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,,,,,,,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,3,12.100001,1783476201.373196,1.202092,-0.000426,1e-06,-0.000169,0.3,0.0,0.258844,-0.001688,camera_link,12.100001,manual_cmd_vel,,nominal,,True,warmup,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,,,,,,,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,4,12.116667,1783476201.377723,1.206784,-0.000427,0.0,-0.000169,0.3,0.0,0.258844,-0.001688,camera_link,12.116667,manual_cmd_vel,,nominal,,True,warmup,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,,,,,,,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,5,12.133334,1783476201.38174,1.211745,-0.000428,0.0,-0.000168,0.3,0.0,0.258844,-0.001688,camera_link,12.133334,manual_cmd_vel,,nominal,,True,warmup,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,,,,,,,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,6,12.150001,1783476201.399171,1.216734,-0.000428,0.0,-0.000168,0.3,0.0,0.299819,-0.000149,camera_link,12.150001,manual_cmd_vel,,nominal,,True,warmup,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,,,,,,,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,7,12.166667,1783476201.401667,1.221725,-0.000429,0.0,-0.000168,0.3,0.0,0.299819,-0.000149,camera_link,12.166667,manual_cmd_vel,,nominal,,True,warmup,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,,,,,,,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,8,12.183334,1783476201.403226,1.226716,-0.00043,0.0,-0.000168,0.3,0.0,0.299819,-0.000149,camera_link,12.183334,manual_cmd_vel,,nominal,,True,warmup,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,,,,,,,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,9,12.200001,1783476201.412026,1.231707,-0.000431,-0.0,-0.000167,0.3,0.0,0.299841,-0.000126,camera_link,12.200001,manual_cmd_vel,,nominal,,True,warmup,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,,,,,,,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,10,12.216667,1783476201.414248,1.236698,-0.000431,2e-06,-0.000163,0.3,0.0,0.299841,-0.000126,camera_link,12.216667,manual_cmd_vel,,nominal,,True,warmup,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,,,,,,,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,11,12.233334,1783476201.416106,1.241691,-0.000432,0.0,-0.000163,0.3,0.0,0.299841,-0.000126,camera_link,12.233334,manual_cmd_vel,,nominal,,True,warmup,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,,,,,,,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,12,12.250001,1783476201.426918,1.246682,-0.000433,0.0,-0.000163,0.3,0.0,0.299836,3.2e-05,camera_link,12.250001,manual_cmd_vel,,nominal,,True,warmup,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,,,,,,,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,13,12.266667,1783476201.42857,1.251674,-0.000433,1e-06,-0.000158,0.3,0.0,0.299836,3.2e-05,camera_link,12.266667,manual_cmd_vel,,nominal,,True,warmup,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,,,,,,,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,14,12.283334,1783476201.429919,1.256663,-0.000436,2e-06,-0.000171,0.3,0.0,0.299836,3.2e-05,camera_link,12.283334,manual_cmd_vel,,nominal,,True,warmup,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,,,,,,,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,15,12.300001,1783476201.439693,1.261654,-0.000436,0.0,-0.000171,0.3,0.0,0.299826,-0.0002,camera_link,12.300001,manual_cmd_vel,,nominal,,True,warmup,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,,,,,,,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,16,12.316667,1783476201.441602,1.266644,-0.000437,0.0,-0.000171,0.3,0.0,0.299826,-0.0002,camera_link,12.316667,manual_cmd_vel,,nominal,,True,warmup,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,,,,,,,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,17,12.333334,1783476201.443026,1.271636,-0.000438,0.0,-0.000171,0.3,0.0,0.299826,-0.0002,camera_link,12.333334,manual_cmd_vel,,nominal,,True,warmup,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,,,,,,,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,18,12.350001,1783476201.612227,1.276626,-0.000439,1e-06,-0.000175,0.3,0.0,0.299376,0.002179,camera_link,12.350001,manual_cmd_vel,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,156.82,0.3,-0.0674,0.6302,-0.0425,16.46,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,19,12.366667,1783476201.614452,1.281617,-0.00044,0.0,-0.000175,0.3,0.0,0.299376,0.002179,camera_link,12.366667,manual_cmd_vel,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,156.82,0.3,-0.0674,0.6302,-0.0425,16.46,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,20,12.383334,1783476201.616623,1.286608,-0.000441,0.0,-0.000174,0.3,0.0,0.299376,0.002179,camera_link,12.383334,manual_cmd_vel,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,156.82,0.3,-0.0674,0.6302,-0.0425,16.46,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,21,12.400001,1783476201.637591,1.291598,-0.000442,1e-06,-0.000182,0.3,0.0,0.299088,0.004384,camera_link,12.400001,manual_cmd_vel,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.09,0.3,-0.067,0.6306,-0.0423,16.46,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,22,12.416667,1783476201.639157,1.296589,-0.000443,0.0,-0.000182,0.3,0.0,0.299088,0.004384,camera_link,12.416667,manual_cmd_vel,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.09,0.3,-0.067,0.6306,-0.0423,16.46,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,23,12.433334,1783476201.640474,1.30158,-0.000444,-0.0,-0.000182,0.3,0.0,0.299088,0.004384,camera_link,12.433334,manual_cmd_vel,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.09,0.3,-0.067,0.6306,-0.0423,16.46,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,24,12.450001,1783476201.661744,1.306571,-0.000445,0.0,-0.000182,0.3,0.0,0.299847,-0.000132,camera_link,12.450001,manual_cmd_vel,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.12,0.3,-0.067,0.6306,-0.0423,16.47,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,25,12.466667,1783476201.663437,1.311563,-0.000445,1e-06,-0.000176,0.3,0.0,0.299847,-0.000132,camera_link,12.466667,manual_cmd_vel,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.12,0.3,-0.067,0.6306,-0.0423,16.47,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,26,12.483334,1783476201.664902,1.316556,-0.000446,0.0,-0.000176,0.3,0.0,0.299847,-0.000132,camera_link,12.483334,manual_cmd_vel,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.12,0.3,-0.067,0.6306,-0.0423,16.47,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,27,12.500001,1783476201.684992,1.321546,-0.000447,1e-06,-0.000177,0.3,0.0,0.299667,-0.001238,camera_link,12.500001,manual_cmd_vel,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,11.91,0.3,-0.0667,0.6313,-0.0422,16.47,,,scripted_cmd_vel,0.3,0.0
manual_arc_20260708_030319,28,12.516667,1783476201.686716,1.326537,-0.000449,1e-06,-0.000181,0.3,0.0,0.299667,-0.001238,camera_link,12.516667,manual_cmd_vel,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,11.91,0.3,-0.0667,0.6313,-0.0422,16.47,,,scripted_cmd_vel,0.3,0.0
